edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,temperance_closure_cluster,temperance_closure_focus
edge.concept.eutrapelia.species_of.concept.external_behavior_modesty,concept.eutrapelia,Wittiness / Eutrapelia,virtue,species_of,concept.external_behavior_modesty,Modesty in Outward Movements,virtue,['ann.concept-eutrapelia-species-of-concept-external-behavior-modesty-st-ii-ii-q168-a002-resp'],['st.ii-ii.q168.a002.resp'],['explicit_textual'],"['es according to reason is virtue . Therefore there can be a virtue about games. The Philosopher gives it the name of wittiness ( eutrapelia ), and a man is said to be pleasant through having a happy turn* of mind, whereby he gives his words and deeds a cheerful turn: and inasmuch as this virtue restrains']",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
edge.concept.excessive_adornment.concerns_outward_attire.concept.outward_apparel,concept.excessive_adornment,Excessive Adornment,vice,concerns_outward_attire,concept.outward_apparel,Outward Apparel,object,['ann.concept-excessive-adornment-concerns-outward-attire-concept-outward-apparel-st-ii-ii-q169-a001-resp'],['st.ii-ii.q169.a001.resp'],['explicit_textual'],"['rt. Thirdly, when a man is too solicitous [Cf. II-II:55:6 ] in his attention to outward apparel. Accordingly Andronicus [De Affectibus] reckons three virtues in connection with outward attire; namely "" humility ,"" which excludes the seeking of glory , wherefore he says that']",reviewed_doctrinal,external_modesty,"['external_attire', 'external_modesty']"
edge.concept.excessive_adornment.excess_opposed_to.concept.outward_attire_modesty,concept.excessive_adornment,Excessive Adornment,vice,excess_opposed_to,concept.outward_attire_modesty,Modesty in Outward Apparel,virtue,['ann.concept-excessive-adornment-excess-opposed-to-concept-outward-attire-modesty-st-ii-ii-q169-a001-resp'],['st.ii-ii.q169.a001.resp'],['explicit_textual'],"['s inordinate attachment occurs in three ways. First when a man seeks glory from excessive attention to dress; in so far as dress and such like things are a kind of ornament. Hence Gregory says (Hom. xl in Ev.): ""There are some who think that attention to finery and costly dress is no sin']",reviewed_doctrinal,external_modesty,"['external_attire', 'external_modesty']"
edge.concept.excessive_play.excess_opposed_to.concept.eutrapelia,concept.excessive_play,Excessive Play,vice,excess_opposed_to,concept.eutrapelia,Wittiness / Eutrapelia,virtue,['ann.concept-excessive-play-excess-opposed-to-concept-eutrapelia-st-ii-ii-q168-a003-resp'],['st.ii-ii.q168.a003.resp'],['explicit_textual'],"['playful or jesting words or deeds are dirigible according to reason . Wherefore excessive play is that which goes beyond the rule of reason: and this happens in two ways. First, on account of the very species of the acts employed for the purpose of fun, and this kind of jes']",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
edge.concept.external_behavior_modesty.concerns_external_behavior.concept.outward_behavior,concept.external_behavior_modesty,Modesty in Outward Movements,virtue,concerns_external_behavior,concept.outward_behavior,Outward Behavior,domain,['ann.concept-external-behavior-modesty-concerns-external-behavior-concept-outward-behavior-st-ii-ii-q168-a001-resp'],['st.ii-ii.q168.a001.resp'],['explicit_textual'],"['gs pertaining to man being directed by his reason . Now it is manifest that the outward movements of man are dirigible by reason, since the outward members are set in motion at the command of reason. Hence it is evident that there is a moral virtue concerned with the direction of the']",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
edge.concept.external_behavior_modesty.species_of.concept.modesty_general,concept.external_behavior_modesty,Modesty in Outward Movements,virtue,species_of,concept.modesty_general,Modesty (General),virtue,['ann.concept-external-behavior-modesty-species-of-concept-modesty-general-st-ii-ii-q168-a001-resp'],['st.ii-ii.q168.a001.resp'],['explicit_textual'],"['rd members are set in motion at the command of reason. Hence it is evident that there is a moral virtue concerned with the direction of these movements. Now the direction of these movements may be considered from a twofold standpoint. First, in respect of fittingness to the person ; secondly, in respect of fittingness to external']",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
edge.concept.first_parents_temptation.directed_to.concept.divine_likeness,concept.first_parents_temptation,Temptation of the First Parents,doctrine,directed_to,concept.divine_likeness,Divine Likeness,doctrine,['ann.concept-first-parents-temptation-directed-to-concept-divine-likeness-st-ii-ii-q165-a002-resp'],['st.ii-ii.q165.a002.resp'],['explicit_textual'],"['made use of a twofold incentive to sin : one on the part of the intellect , by promising the Divine likeness through the acquisition of knowledge which man naturally desires to have; the other on the part of sense. This he did by having recourse to those sensible things, which are most a']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.first_parents_temptation.directed_to.concept.knowledge_good_and_evil,concept.first_parents_temptation,Temptation of the First Parents,doctrine,directed_to,concept.knowledge_good_and_evil,Knowledge of Good and Evil,doctrine,['ann.concept-first-parents-temptation-directed-to-concept-knowledge-good-and-evil-st-ii-ii-q165-a002-resp'],['st.ii-ii.q165.a002.resp'],['explicit_textual'],"['one on the part of the intellect , by promising the Divine likeness through the acquisition of knowledge which man naturally desires to have; the other on the part of sense. This he did by having recourse to those sensible things, which are most akin to man , partly by tempting the m']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.humility.directed_to.concept.god,concept.humility,Humility,virtue,directed_to,concept.god,God,object,['ann.concept-humility-directed-to-concept-god-st-ii-ii-q161-a003-resp'],['st.ii-ii.q161.a003.resp'],['explicit_textual'],"['is God\'s , and that which is man\'s . Whatever pertains to defect is man\'s : but whatever pertains to man\'s welfare and perfection is God\'s , according to the saying of Hosea 13:9 , ""Destruction is thy own, O Israel ; thy help is only in Me."" Now humility , as stated above ( Article 1, Reply to Objection 5 ; Article 2']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.humility.potential_part_of.concept.temperance,concept.humility,Humility,virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-humility-potential-part-of-concept-temperance-st-ii-ii-q161-a004-resp'],['st.ii-ii.q161.a004.resp'],['explicit_textual'],"['h is the movement of a spirit aiming at great things. Wherefore, like meekness, humility is accounted a part of temperance . For this reason the Philosopher (Ethic. iv, 3) says that a man who aims at small things in proportion to his mode is not magnanimous but ""temperate,"" and such a man we may call']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.humility.regulated_by.concept.truth_about_self,concept.humility,Humility,virtue,regulated_by,concept.truth_about_self,Truth About Oneself,doctrine,['ann.concept-humility-regulated-by-concept-truth-about-self-st-ii-ii-q161-a002-resp'],['st.ii-ii.q161.a002.resp'],['explicit_textual'],"[""pose he must know his disproportion to that which surpasses his capacity. Hence knowledge of one's own deficiency belongs to humility , as a rule guiding the appetite . Nevertheless humility is essentially in the appetite itself; and consequently it must be said that humility , properly speaking, moderates the m""]",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.humility.species_of.concept.modesty_general,concept.humility,Humility,virtue,species_of,concept.modesty_general,Modesty (General),virtue,['ann.concept-humility-species-of-concept-modesty-general-st-ii-ii-q161-a004-resp'],['st.ii-ii.q161.a004.resp'],['explicit_textual'],"['the reason given above ( II-II:160:2 ), among the various parts of temperance , the one under which humility is comprised is modesty as understood by Tully (De Invent. Rhet. ii, 54), inasmuch as humility is nothing else than a moderation of spirit: wherefore it is written ( 1 Peter 3:4 ): ""In the incorruptibili']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.humility.species_of.concept.virtue,concept.humility,Humility,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-humility-species-of-concept-virtue-st-ii-ii-q161-a001-resp'],['st.ii-ii.q161.a001.resp'],['explicit_textual'],"['As stated above ( I-II:23:2 ) when we were treating of the passions , the difficult good has something attractive to the appetite , namely the aspect of good , and likewise something repulsive to the appetite , namely the difficulty of obtaining it. On respect']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.outward_attire_modesty.concerns_outward_attire.concept.outward_apparel,concept.outward_attire_modesty,Modesty in Outward Apparel,virtue,concerns_outward_attire,concept.outward_apparel,Outward Apparel,object,['ann.concept-outward-attire-modesty-concerns-outward-attire-concept-outward-apparel-st-ii-ii-q169-a001-resp'],['st.ii-ii.q169.a001.resp'],['explicit_textual'],"['rt. Thirdly, when a man is too solicitous [Cf. II-II:55:6 ] in his attention to outward apparel. Accordingly Andronicus [De Affectibus] reckons three virtues in connection with outward attire; namely "" humility ,"" which excludes the seeking of glory , wherefore he says that']",reviewed_doctrinal,external_modesty,"['external_attire', 'external_modesty']"
edge.concept.outward_attire_modesty.species_of.concept.modesty_general,concept.outward_attire_modesty,Modesty in Outward Apparel,virtue,species_of,concept.modesty_general,Modesty (General),virtue,['ann.concept-outward-attire-modesty-species-of-concept-modesty-general-st-ii-ii-q169-a001-resp'],['st.ii-ii.q169.a001.resp'],['explicit_textual'],"['rt. Thirdly, when a man is too solicitous [Cf. II-II:55:6 ] in his attention to outward apparel. Accordingly Andronicus [De Affectibus] reckons three virtues in connection with outward attire; namely "" humility ,"" which excludes the seeking of glory , wherefore he says that']",reviewed_doctrinal,external_modesty,"['external_attire', 'external_modesty']"
edge.concept.precepts_of_temperance.forbids_opposed_vice_of.concept.adultery_lust,concept.precepts_of_temperance,Precepts of Temperance,precept,forbids_opposed_vice_of,concept.adultery_lust,Adultery,sin_type,['ann.concept-precepts-of-temperance-forbids-opposed-vice-of-concept-adultery-lust-st-ii-ii-q170-a001-resp'],['st.ii-ii.q170.a001.resp'],['explicit_textual'],"[""abusing his neighbor's wife. Wherefore the precepts of the decalogue include a special prohibition of adultery , not only as committed in deed , but also as desired in thought.""]",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.precepts_of_temperance.precept_of.concept.temperance,concept.precepts_of_temperance,Precepts of Temperance,precept,precept_of,concept.temperance,Temperance,virtue,['ann.concept-precepts-of-temperance-precept-of-concept-temperance-st-ii-ii-q170-a001-resp'],['st.ii-ii.q170.a001.resp'],['explicit_textual'],"['As the Apostle says ( 1 Timothy 1:5 ), ""the end of the commandment is charity ,"" which is enjoined upon us in the two precepts concerning the love of God and of our neighbor. Wherefore the decalogue contains those precepts which tend more directly to the love']",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.precepts_of_temperance_parts.forbids_opposed_vice_of.concept.anger_vice,concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,forbids_opposed_vice_of,concept.anger_vice,Anger (Vice-Level),vice,['ann.concept-precepts-of-temperance-parts-forbids-opposed-vice-of-concept-anger-vice-st-ii-ii-q170-a002-resp'],['st.ii-ii.q170.a002.resp'],['explicit_textual'],"['ition of the effects of the vices opposed to the parts of temperance . Thus the effect of anger , which is opposed to meekness, is sometimes that a man goes on to commit murder (and this is forbidden in the Decalogue ), and sometimes that he refuses due honor to his parents,']",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.precepts_of_temperance_parts.forbids_opposed_vice_of.concept.pride,concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,forbids_opposed_vice_of,concept.pride,Pride,vice,['ann.concept-precepts-of-temperance-parts-forbids-opposed-vice-of-concept-pride-st-ii-ii-q170-a002-resp'],['st.ii-ii.q170.a002.resp'],['explicit_textual'],"[', and sometimes that he refuses due honor to his parents, which may also be the result of pride , which leads many to transgress the precepts of the first table.']",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.precepts_of_temperance_parts.precept_of.concept.humility,concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,precept_of,concept.humility,Humility,virtue,['ann.concept-precepts-of-temperance-parts-precept-of-concept-humility-st-ii-ii-q170-a002-resp'],['st.ii-ii.q170.a002.resp'],['explicit_textual'],"['commit murder (and this is forbidden in the Decalogue ), and sometimes that he refuses due honor to his parents, which may also be the result of pride , which leads many to transgress the precepts of the first table.']",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.precepts_of_temperance_parts.precept_of.concept.meekness,concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,precept_of,concept.meekness,Meekness,virtue,['ann.concept-precepts-of-temperance-parts-precept-of-concept-meekness-st-ii-ii-q170-a002-resp'],['st.ii-ii.q170.a002.resp'],['explicit_textual'],"['ition of the effects of the vices opposed to the parts of temperance . Thus the effect of anger , which is opposed to meekness, is sometimes that a man goes on to commit murder (and this is forbidden in the Decalogue ), and sometimes that he refuses due honor to his parents,']",reviewed_doctrinal,precept,"['precept', 'precept_linkage']"
edge.concept.pride.contrary_to.concept.humility,concept.pride,Pride,vice,contrary_to,concept.humility,Humility,virtue,['ann.concept-pride-contrary-to-concept-humility-st-ii-ii-q162-a005-resp'],['st.ii-ii.q162.a005.resp'],['explicit_textual'],"['Pride is opposed to humility . Now humility properly regards the subjection of man to God , as stated above ( II-II:161:1 ad 5 ). Hence pride properly regards lack of this subjection, in so far as a man raise']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.pride.directed_to.concept.own_excellence,concept.pride,Pride,vice,directed_to,concept.own_excellence,One's Own Excellence,domain,['ann.concept-pride-directed-to-concept-own-excellence-st-ii-ii-q162-a002-resp'],['st.ii-ii.q162.a002.resp'],['explicit_textual'],"[""pride is a special sin , because it has a special object: for it is inordinate desire of one's own excellence, as stated ( Article 1, Reply to Objection 2 ). Secondly, it may be considered as having a certain influence towards other sins . On this way it has somewhat of a generic characte""]",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.pride.species_of.concept.vice,concept.pride,Pride,vice,species_of,concept.vice,Vice,vice,['ann.concept-pride-species-of-concept-vice-st-ii-ii-q162-a001-resp'],['st.ii-ii.q162.a001.resp'],['explicit_textual'],"['Pride [superbia] is so called because a man thereby aims higher [supra] than he is; wherefore Isidore says (Etym. x): ""A man is said to be proud, because he wishes to appear above ( sup']",reviewed_doctrinal,humility_pride,['humility_pride']
edge.concept.studiousness.concerns_ordered_inquiry.concept.ordered_inquiry,concept.studiousness,Studiousness,virtue,concerns_ordered_inquiry,concept.ordered_inquiry,Ordered Inquiry,domain,['ann.concept-studiousness-concerns-ordered-inquiry-concept-ordered-inquiry-st-ii-ii-q166-a001-resp'],['st.ii-ii.q166.a001.resp'],['explicit_textual'],"[""Properly speaking, study denotes keen application of the mind to something. Now the mind is not applied to a thing except by knowing that thing. Wherefore the mind's application to knowledge precedes its application to those things to which""]",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.studiousness.potential_part_of.concept.temperance,concept.studiousness,Studiousness,virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-studiousness-potential-part-of-concept-temperance-st-ii-ii-q166-a002-resp'],['st.ii-ii.q166.a002.resp'],['explicit_textual'],"['f this desire pertains to the virtue of studiousness; wherefore it follows that studiousness is a potential part of temperance , as a subordinate virtue annexed to a principal virtue . Moreover, it is comprised under modesty for the reason given above ( II-II:160:2 ).']",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.studiousness.species_of.concept.modesty_general,concept.studiousness,Studiousness,virtue,species_of,concept.modesty_general,Modesty (General),virtue,['ann.concept-studiousness-species-of-concept-modesty-general-st-ii-ii-q166-a002-resp'],['st.ii-ii.q166.a002.resp'],['explicit_textual'],"['temperance , as a subordinate virtue annexed to a principal virtue . Moreover, it is comprised under modesty for the reason given above ( II-II:160:2 ).']",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.studiousness.species_of.concept.virtue,concept.studiousness,Studiousness,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-studiousness-species-of-concept-virtue-st-ii-ii-q166-a002-resp'],['st.ii-ii.q166.a002.resp'],['explicit_textual'],"['a natural desire for knowledge ."" The moderation of this desire pertains to the virtue of studiousness; wherefore it follows that studiousness is a potential part of temperance , as a subordinate virtue annexed to a principal virtue . Moreover, it is comprised under modesty for the']",reviewed_doctrinal,study_curiosity,['study_curiosity']
