edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,fortitude_parts_cluster,fortitude_closure_focus
edge.concept.magnanimity.species_of.concept.virtue,concept.magnanimity,Magnanimity,virtue,species_of,concept.virtue,Virtue,virtue,"['ann.concept-magnanimity-species-of-concept-virtue-st-ii-ii-q129-a003-resp', 'ann.concept-magnanimity-species-of-concept-virtue-st-ii-ii-q129-a004-resp']","['st.ii-ii.q129.a003.resp', 'st.ii-ii.q129.a004.resp']","['explicit_textual', 'strong_textual_inference']","['al human things honors take precedence of all others, as stated above ( Article 1 ; I-II:11:2, Objection 3 ). Therefore magnanimity, which observes the mode of reason in great honors, is a virtue .', 'As stated above ( II-II:123:2 ), it belongs to a special virtue to establish the mode of reason in a determinate matter . Now magnanimity establishes the mode of reason in a determinate matter , namely honors, as stated abo']",reviewed_doctrinal,honor_worthiness,
edge.concept.magnificence.concerns_great_expenditure.concept.great_expenditure,concept.magnificence,Magnificence,virtue,concerns_great_expenditure,concept.great_expenditure,Great Expenditure,domain,"['ann.concept-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q134-a003-resp', 'ann.concept-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q135-a001-resp', 'ann.concept-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q135-a002-resp']","['st.ii-ii.q134.a003.resp', 'st.ii-ii.q135.a001.resp', 'st.ii-ii.q135.a002.resp']",['explicit_textual'],"['Now for the doing of a great work, proportionate expenditure is necessary , for great works cannot be produced without great expenditure. Hence it belongs to magnificence to spend much in order that some great work may be accomplished in becoming manner. Wherefore the Philosopher says (Ethic. iv', 'expense. Accordingly the magnificent man intends principally the greatness of his work, and secondarily he intends the greatness of the expense, which he does not shirk, so that he may produce a great work. Wherefore the Philosopher says (Ethic. iv, 4) that ""the magnificent man with equal expenditure w', 'diture may be little in comparison with the work, so may it be great in comparison with the work in that it exceeds the proportion which reason requires to exist between expenditure and work. Hence it is manifest that the vice of meanness, whereby a man intends to spend less than his work is worth, and thus fai']",reviewed_doctrinal,expenditure_work,
edge.concept.magnificence.concerns_great_work.concept.great_work,concept.magnificence,Magnificence,virtue,concerns_great_work,concept.great_work,Great Work,object,"['ann.concept-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q134-a002-resp', 'ann.concept-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q134-a003-resp', 'ann.concept-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q134-a004-resp', 'ann.concept-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q135-a001-resp', 'ann.concept-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q135-a002-resp']","['st.ii-ii.q134.a002.resp', 'st.ii-ii.q134.a003.resp', 'st.ii-ii.q134.a004.resp', 'st.ii-ii.q135.a001.resp', 'st.ii-ii.q135.a002.resp']","['explicit_textual', 'strong_textual_inference']","['as to burn or cut, or remain in the agent, as to understand or will. Accordingly if magnificence be taken to denote the doing of something great, the doing [factio] being understood in the strict sense, it is then a special virtue . For the work done is produced by act: in the use of which it is possibl', 'As stated above ( Article 2 ), it belongs to magnificence to intend doing some great work. Now for the doing of a great work, proportionate expenditure is necessary , for great works cannot be produced without great expenditure. Hence it belongs to', ""the arduous thing to which fortitude tends derives its difficulty from a danger that threatens the person , whereas the arduous thing to which magnificence tends, derives its difficulty from the dispossession of one's property, which is of much less account than danger to one's person . Wherefore magnificence is account"", 'great in two ways: in one way as regards the work itself to be done, in another as regards the expense. Accordingly the magnificent man intends principally the greatness of his work, and secondarily he intends the greatness of the expense, which he does not shirk, so that he may produce a great work. Wherefore the Philosopher says (Ethic.', 'ttle. Also little and great are relative terms, as stated above ( Article 1 ). Now just as expenditure may be little in comparison with the work, so may it be great in comparison with the work in that it exceeds the proportion which reason requires to exist between expenditure and work. Hence it is mani']",reviewed_doctrinal,expenditure_work,
edge.concept.magnificence.related_to_fortitude.concept.fortitude,concept.magnificence,Magnificence,virtue,related_to_fortitude,concept.fortitude,Fortitude,virtue,['ann.concept-magnificence-related-to-fortitude-concept-fortitude-st-ii-ii-q134-a004-resp'],['st.ii-ii.q134.a004.resp'],['explicit_textual'],"[""ficulty from the dispossession of one's property, which is of much less account than danger to one's person . Wherefore magnificence is accounted a part of fortitude .""]",reviewed_doctrinal,expenditure_work,
edge.concept.magnificence.species_of.concept.virtue,concept.magnificence,Magnificence,virtue,species_of,concept.virtue,Virtue,virtue,"['ann.concept-magnificence-species-of-concept-virtue-st-ii-ii-q134-a001-resp', 'ann.concept-magnificence-species-of-concept-virtue-st-ii-ii-q134-a002-resp']","['st.ii-ii.q134.a001.resp', 'st.ii-ii.q134.a002.resp']","['explicit_textual', 'strong_textual_inference']","['refore to do something great, whence magnificence takes its name, belongs properly to the very notion of virtue . Hence magnificence denotes a virtue .', 'be taken to denote the doing of something great, the doing [factio] being understood in the strict sense, it is then a special virtue . For the work done is produced by act: in the use of which it is possible to consider a special aspect of goodness , namely that the work produced [factum] by']",reviewed_doctrinal,expenditure_work,
edge.concept.meanness_magnificence.concerns_great_expenditure.concept.great_expenditure,concept.meanness_magnificence,Meanness,vice,concerns_great_expenditure,concept.great_expenditure,Great Expenditure,domain,"['ann.concept-meanness-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q135-a001-resp', 'ann.concept-meanness-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q135-a002-resp']","['st.ii-ii.q135.a001.resp', 'st.ii-ii.q135.a002.resp']",['explicit_textual'],"['e mean man intends principally to spend little, wherefore the Philosopher says (Ethic. iv, 2) that ""he seeks how he may spend least."" As a result of this he intends to produce a little work, that is, he does not shrink from producing a little work, so long as he spends little. Wherefore the', 'equires to exist between expenditure and work. Hence it is manifest that the vice of meanness, whereby a man intends to spend less than his work is worth, and thus fails to observe due proportion between his expenditure and his work, has a vice opposed to it, whereby a man exceeds this same proportion, by spendi']",reviewed_doctrinal,expenditure_work,
edge.concept.meanness_magnificence.concerns_great_work.concept.great_work,concept.meanness_magnificence,Meanness,vice,concerns_great_work,concept.great_work,Great Work,object,"['ann.concept-meanness-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q135-a001-resp', 'ann.concept-meanness-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q135-a002-resp']","['st.ii-ii.q135.a001.resp', 'st.ii-ii.q135.a002.resp']",['explicit_textual'],"['the Philosopher says (Ethic. iv, 2) that ""he seeks how he may spend least."" As a result of this he intends to produce a little work, that is, he does not shrink from producing a little work, so long as he spends little. Wherefore the Philosopher says that ""the mean man after going to great', 'ttle. Also little and great are relative terms, as stated above ( Article 1 ). Now just as expenditure may be little in comparison with the work, so may it be great in comparison with the work in that it exceeds the proportion which reason requires to exist between expenditure and work. Hence it is mani']",reviewed_doctrinal,expenditure_work,
edge.concept.meanness_magnificence.deficiency_opposed_to.concept.magnificence,concept.meanness_magnificence,Meanness,vice,deficiency_opposed_to,concept.magnificence,Magnificence,virtue,"['ann.concept-meanness-magnificence-deficiency-opposed-to-concept-magnificence-st-ii-ii-q135-a001-resp', 'ann.concept-meanness-magnificence-deficiency-opposed-to-concept-magnificence-st-ii-ii-q135-a002-resp']","['st.ii-ii.q135.a001.resp', 'st.ii-ii.q135.a002.resp']",['strong_textual_inference'],"['e mean man intends principally to spend little, wherefore the Philosopher says (Ethic. iv, 2) that ""he seeks how he may spend least."" As a result of this he intends to produce a little work, that is, he does not shrink from producing a little work, so long as he spends little. Wherefore the', 'equires to exist between expenditure and work. Hence it is manifest that the vice of meanness, whereby a man intends to spend less than his work is worth, and thus fails to observe due proportion between his expenditure and his work, has a vice opposed to it, whereby a man exceeds this same proportion, by spendi']",reviewed_doctrinal,expenditure_work,
edge.concept.meanness_magnificence.species_of.concept.vice,concept.meanness_magnificence,Meanness,vice,species_of,concept.vice,Vice,vice,['ann.concept-meanness-magnificence-species-of-concept-vice-st-ii-ii-q135-a001-resp'],['st.ii-ii.q135.a001.resp'],['explicit_textual'],['w the essence of vice is that it consists in failing to do what is in accordance with reason. Hence it is manifest that meanness is a vice .'],reviewed_doctrinal,expenditure_work,
edge.concept.presumption_magnanimity.excess_opposed_to.concept.magnanimity,concept.presumption_magnanimity,Presumption (Against Magnanimity),vice,excess_opposed_to,concept.magnanimity,Magnanimity,virtue,['ann.concept-presumption-magnanimity-excess-opposed-to-concept-magnanimity-st-ii-ii-q130-a002-resp'],['st.ii-ii.q130.a002.resp'],['explicit_textual'],"['e does exceed in proportion to his own ability, whereas the magnanimous man does not exceed his. It is in this way that presumption is opposed to magnanimity by excess.']",reviewed_doctrinal,honor_worthiness,
edge.concept.presumption_magnanimity.species_of.concept.sin,concept.presumption_magnanimity,Presumption (Against Magnanimity),vice,species_of,concept.sin,Sin,sin_type,['ann.concept-presumption-magnanimity-species-of-concept-sin-st-ii-ii-q130-a001-resp'],['st.ii-ii.q130.a001.resp'],['explicit_textual'],"['what is above his power: and this is what is meant by presumption, as its very name shows. Wherefore it is evident that presumption is a sin .']",reviewed_doctrinal,honor_worthiness,
edge.concept.pusillanimity.concerns_worthiness.concept.worthiness,concept.pusillanimity,Pusillanimity,vice,concerns_worthiness,concept.worthiness,Worthiness,doctrine,['ann.concept-pusillanimity-concerns-worthiness-concept-worthiness-st-ii-ii-q133-a002-resp'],['st.ii-ii.q133.a002.resp'],['explicit_textual'],"[""ly deems to exceed one's ability. Thirdly, it may be considered in reference to its effect, which is to shrink from the great things of which one is worthy. But, as stated above ( II-II:132:2 ad 3 ), opposition between vice and virtue depends rather on their respective species than on their cause or effect. Hence""]",reviewed_doctrinal,honor_worthiness,
edge.concept.pusillanimity.deficiency_opposed_to.concept.magnanimity,concept.pusillanimity,Pusillanimity,vice,deficiency_opposed_to,concept.magnanimity,Magnanimity,virtue,"['ann.concept-pusillanimity-deficiency-opposed-to-concept-magnanimity-st-ii-ii-q133-a001-resp', 'ann.concept-pusillanimity-deficiency-opposed-to-concept-magnanimity-st-ii-ii-q133-a002-resp']","['st.ii-ii.q133.a001.resp', 'st.ii-ii.q133.a002.resp']",['strong_textual_inference'],"['makes a man exceed what is proportionate to his power, by striving to do more than he can, so pusillanimity makes a man fall short of what is proportionate to his power, by refusing to tend to that which is commensurate thereto. Wherefore as presumption is a sin , so is pusillanimity. Hence it is that the servant who buried in', 'Pusillanimity may be considered in three ways. First, in itself; and thus it is evident that by its very nature it is opposed to magnanimity, from which it differs as great']",reviewed_doctrinal,honor_worthiness,
edge.concept.pusillanimity.species_of.concept.sin,concept.pusillanimity,Pusillanimity,vice,species_of,concept.sin,Sin,sin_type,['ann.concept-pusillanimity-species-of-concept-sin-st-ii-ii-q133-a001-resp'],['st.ii-ii.q133.a001.resp'],['explicit_textual'],"['portionate to his power, by refusing to tend to that which is commensurate thereto. Wherefore as presumption is a sin , so is pusillanimity. Hence it is that the servant who buried in the earth the money he had received from his master, and did not trade with it through fainthearted fear, was punis']",reviewed_doctrinal,honor_worthiness,
edge.concept.vainglory.concerns_honor.concept.honor_recognition,concept.vainglory,Vainglory,vice,concerns_honor,concept.honor_recognition,Honor as Recognition,domain,['ann.concept-vainglory-concerns-honor-concept-honor-recognition-st-ii-ii-q132-a002-resp'],['st.ii-ii.q132.a002.resp'],['strong_textual_inference'],"['As stated above ( II-II:103:1 ad 3 ), glory is an effect of honor and praise: because from the fact that a man is praised, or shown any kind of reverence, he acquires charity in the knowledge of others. And since magnanimity']",reviewed_doctrinal,honor_worthiness,
edge.concept.vainglory.directed_to.concept.glory,concept.vainglory,Vainglory,vice,directed_to,concept.glory,Glory,domain,"['ann.concept-vainglory-directed-to-concept-glory-st-ii-ii-q132-a001-resp', 'ann.concept-vainglory-directed-to-concept-glory-st-ii-ii-q132-a002-resp', 'ann.concept-vainglory-directed-to-concept-glory-st-ii-ii-q132-a004-resp', 'ann.concept-vainglory-directed-to-concept-glory-st-ii-ii-q132-a005-resp']","['st.ii-ii.q132.a001.resp', 'st.ii-ii.q132.a002.resp', 'st.ii-ii.q132.a004.resp', 'st.ii-ii.q132.a005.resp']","['explicit_textual', 'strong_textual_inference']","['our light shine before men."" Hence the desire for glory does not, of itself, denote a sin : but the desire for empty or vain glory denotes a sin : for it is sinful to desire anything vain, according to Psalm 4:3 , ""Why do you love vanity, and seek after lying?"" Now glory may be called vain', 'it also is about glory : seeing that as a man uses honor moderately, so too does he use glory in moderation. Wherefore inordinate desire of glory is directly opposed to magnanimity.', ""cial sources of vice , known as the capital vices . Now among the goods that are the means whereby man acquires honor , glory seems to be the most conducive to that effect, inasmuch as it denotes the manifestation of a man's goodness : since good is naturally loved and honored by all. Wherefore, just as by the glor"", ""y their very nature are such as to be directed to the end of a certain capital vice , are called its daughters. Now the end of vainglory is the manifestation of one's own excellence, as stated above ( A1 , Article 4 ): and to this end a man may tend in two ways. On one way directly, either by wo""]",reviewed_doctrinal,honor_worthiness,
edge.concept.vainglory.excess_opposed_to.concept.magnanimity,concept.vainglory,Vainglory,vice,excess_opposed_to,concept.magnanimity,Magnanimity,virtue,['ann.concept-vainglory-excess-opposed-to-concept-magnanimity-st-ii-ii-q132-a002-resp'],['st.ii-ii.q132.a002.resp'],['strong_textual_inference'],"['ng that as a man uses honor moderately, so too does he use glory in moderation. Wherefore inordinate desire of glory is directly opposed to magnanimity.']",reviewed_doctrinal,honor_worthiness,
edge.concept.vainglory.species_of.concept.vice,concept.vainglory,Vainglory,vice,species_of,concept.vice,Vice,vice,['ann.concept-vainglory-species-of-concept-vice-st-ii-ii-q132-a004-resp'],['st.ii-ii.q132.a004.resp'],['explicit_textual'],"['The capital vices are enumerated in two ways. For some reckon pride as one of their number: and these do not place vainglory among the capital vices . Gregory , however (Moral. xxxi), reckons pride to be the queen of all the vices , and vainglory, which is the immediate offspring of']",reviewed_doctrinal,honor_worthiness,
edge.concept.waste_magnificence.concerns_great_expenditure.concept.great_expenditure,concept.waste_magnificence,Waste (Banausia / Consumptio),vice,concerns_great_expenditure,concept.great_expenditure,Great Expenditure,domain,['ann.concept-waste-magnificence-concerns-great-expenditure-concept-great-expenditure-st-ii-ii-q135-a002-resp'],['st.ii-ii.q135.a002.resp'],['explicit_textual'],"['oportion between his expenditure and his work, has a vice opposed to it, whereby a man exceeds this same proportion, by spending more than is proportionate to his work. This vice is called in Greek banausia , so called from the Greek baunos , because, like the fire in the furnace, it consumes everything. It is als']",reviewed_doctrinal,expenditure_work,
edge.concept.waste_magnificence.concerns_great_work.concept.great_work,concept.waste_magnificence,Waste (Banausia / Consumptio),vice,concerns_great_work,concept.great_work,Great Work,object,['ann.concept-waste-magnificence-concerns-great-work-concept-great-work-st-ii-ii-q135-a002-resp'],['st.ii-ii.q135.a002.resp'],['explicit_textual'],"['ttle. Also little and great are relative terms, as stated above ( Article 1 ). Now just as expenditure may be little in comparison with the work, so may it be great in comparison with the work in that it exceeds the proportion which reason requires to exist between expenditure and work. Hence it is mani']",reviewed_doctrinal,expenditure_work,
edge.concept.waste_magnificence.contrary_to.concept.meanness_magnificence,concept.waste_magnificence,Waste (Banausia / Consumptio),vice,contrary_to,concept.meanness_magnificence,Meanness,vice,['ann.concept-waste-magnificence-contrary-to-concept-meanness-magnificence-st-ii-ii-q135-a002-resp'],['st.ii-ii.q135.a002.resp'],['explicit_textual'],"['at it exceeds the proportion which reason requires to exist between expenditure and work. Hence it is manifest that the vice of meanness, whereby a man intends to spend less than his work is worth, and thus fails to observe due proportion between his expenditure and his work, has a vice opposed']",reviewed_doctrinal,expenditure_work,
edge.concept.waste_magnificence.excess_opposed_to.concept.magnificence,concept.waste_magnificence,Waste (Banausia / Consumptio),vice,excess_opposed_to,concept.magnificence,Magnificence,virtue,['ann.concept-waste-magnificence-excess-opposed-to-concept-magnificence-st-ii-ii-q135-a002-resp'],['st.ii-ii.q135.a002.resp'],['strong_textual_inference'],"['oportion between his expenditure and his work, has a vice opposed to it, whereby a man exceeds this same proportion, by spending more than is proportionate to his work. This vice is called in Greek banausia , so called from the Greek baunos , because, like the fire in the furnace, it consumes everything. It is als']",reviewed_doctrinal,expenditure_work,
edge.concept.waste_magnificence.species_of.concept.vice,concept.waste_magnificence,Waste (Banausia / Consumptio),vice,species_of,concept.vice,Vice,vice,['ann.concept-waste-magnificence-species-of-concept-vice-st-ii-ii-q135-a002-resp'],['st.ii-ii.q135.a002.resp'],['explicit_textual'],"['s a vice opposed to it, whereby a man exceeds this same proportion, by spending more than is proportionate to his work. This vice is called in Greek banausia , so called from the Greek baunos , because, like the fire in the furnace, it consumes everything. It is also called apyrokalia , i.e. lackin']",reviewed_doctrinal,expenditure_work,
edge.concept.constancy_fortitude.part_of.concept.patience,concept.constancy_fortitude,Constancy,habit,part_of,concept.patience,Patience,virtue,['ann.concept-constancy-fortitude-part-of-concept-patience-st-ii-ii-q136-a005-resp'],['st.ii-ii.q136.a005.resp'],['explicit_textual'],"['afflicteth the soul ."" Hence there may be patience in bearing this trial, as in enduring any other sorrows. Accordingly longanimity and constancy are both comprised under patience, in so far as both the delay of the hoped for good (which regards longanimity) and the toil which man endures in persistently accomplishing a good work (which regards constancy) m']",reviewed_doctrinal,,"['patience', 'perseverance']"
edge.concept.constancy_fortitude.part_of_fortitude.concept.fortitude,concept.constancy_fortitude,Constancy,habit,part_of_fortitude,concept.fortitude,Fortitude,virtue,['ann.concept-constancy-fortitude-part-of-fortitude-concept-fortitude-st-ii-ii-q137-a003-resp'],['st.ii-ii.q137.a003.resp'],['explicit_textual'],"['ereas constancy makes him persist firmly in good against difficulties arising from any other external hindrances. Hence perseverance takes precedence of constancy as a part of fortitude , because the difficulty arising from continuance of action is more intrinsic to the act of virtue than that which arises from external obstacles.']",reviewed_doctrinal,,['perseverance']
edge.concept.effeminacy_perseverance.deficiency_opposed_to.concept.perseverance_virtue,concept.effeminacy_perseverance,Effeminacy,vice,deficiency_opposed_to,concept.perseverance_virtue,Perseverance (Fortitude Part),virtue,"['ann.concept-effeminacy-perseverance-deficiency-opposed-to-concept-perseverance-virtue-st-ii-ii-q138-a001-resp', 'ann.concept-effeminacy-perseverance-deficiency-opposed-to-concept-perseverance-virtue-st-ii-ii-q138-a001-sc']","['st.ii-ii.q138.a001.resp', 'st.ii-ii.q138.a001.sc']",['explicit_textual'],"['praise because thereby a man does not forsake a good on account of long endurance of difficulties and toils: and it is directly opposed to this, seemingly, for a man to be ready to forsake a good on account of difficulties which he cannot endure. This is what we understand by effeminacy, because a thing is said to', 'The Philosopher says (Ethic. vii, 7) that ""the persevering man is opposed to the effeminate.""']",reviewed_doctrinal,,"['opposed_vice', 'perseverance']"
edge.concept.fortitude.perfected_by.concept.fortitude_gift,concept.fortitude,Fortitude,virtue,perfected_by,concept.fortitude_gift,Gift of Fortitude,gift_holy_spirit,['ann.concept-fortitude-perfected-by-concept-fortitude-gift-st-ii-ii-q139-a001-ad1'],['st.ii-ii.q139.a001.ad1'],['strong_textual_inference'],['ind in the endurance of all perils whatever; but it does not go so far as to give confidence of overcoming all dangers: this belongs to the fortitude that is a gift of the Holy Ghost .'],reviewed_doctrinal,,['gift']
edge.concept.fortitude_gift.corresponding_gift_of.concept.fortitude,concept.fortitude_gift,Gift of Fortitude,gift_holy_spirit,corresponding_gift_of,concept.fortitude,Fortitude,virtue,['ann.concept-fortitude-gift-corresponding-gift-of-concept-fortitude-st-ii-ii-q139-a001-resp'],['st.ii-ii.q139.a001.resp'],['explicit_textual'],['idence of this is infused into the mind by the Holy Ghost Who expels any fear of the contrary. It is in this sense that fortitude is reckoned a gift of the Holy Ghost . For it has been stated above ( I-II:68:1-2 ) that the gifts regard the motion of the mind by the Holy Ghost .'],reviewed_doctrinal,,['gift']
edge.concept.fortitude_gift.corresponds_to.concept.beatitude_hunger_for_justice,concept.fortitude_gift,Gift of Fortitude,gift_holy_spirit,corresponds_to,concept.beatitude_hunger_for_justice,Beatitude of Hunger and Thirst for Justice,beatitude,['ann.concept-fortitude-gift-corresponds-to-concept-beatitude-hunger-for-justice-st-ii-ii-q139-a002-resp'],['st.ii-ii.q139.a002.resp'],['explicit_textual'],"['order in which they are set forth, observing at the same time a certain fittingness between them. Wherefore he ascribes the fourth beatitude, concerning the hunger and thirst for justice , to the fourth gift , namely fortitude . Yet there is a certain congruity between them, because, as stated ( Article 1 ), fortitude']",reviewed_doctrinal,,['gift']
edge.concept.fortitude_gift.directed_to.concept.arduous_work,concept.fortitude_gift,Gift of Fortitude,gift_holy_spirit,directed_to,concept.arduous_work,Arduous / Difficult Work,act_type,['ann.concept-fortitude-gift-directed-to-concept-arduous-work-st-ii-ii-q139-a001-ad3'],['st.ii-ii.q139.a001.ad3'],['explicit_textual'],"['e regards the virtue of fortitude not only because it consists in enduring dangers, but also inasmuch as it consists in accomplishing any difficult work. Wherefore the gift of fortitude is directed by the gift of counsel, which seems to be concerned chiefly with the greater goods.']",reviewed_doctrinal,,['gift']
