edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer
edge.concept.commutative_justice.directed_to.concept.fairness_in_exchange,concept.commutative_justice,Commutative Justice,virtue,directed_to,concept.fairness_in_exchange,Fairness in Exchange,domain,['ann.concept-commutative-justice-directed-to-concept-fairness-in-exchange-st-ii-ii-q061-a002-resp'],['st.ii-ii.q061.a002.resp'],['strong_textual_inference'],"['As stated above ( Article 1 ), in distributive justice something is given to a private individual , in so far as what belongs to the whole is due to the part, and in a quantity that is proportionate to the importance of the position of that part in respect of']",reviewed_doctrinal
edge.concept.commutative_justice.has_act.concept.restitution,concept.commutative_justice,Commutative Justice,virtue,has_act,concept.restitution,Restitution,act_type,['ann.concept-commutative-justice-has-act-concept-restitution-st-ii-ii-q062-a001-resp'],['st.ii-ii.q062.a001.resp'],['explicit_textual'],"['stice attending the payment of one thing for another, and this belongs to commutative justice . Hence restitution is an act of commutative justice , occasioned by one person having what belongs to another, either with his consent, for instance on loan or deposit, or against his will, as in robbery or thef']",reviewed_doctrinal
edge.concept.commutative_justice.species_of.concept.particular_justice,concept.commutative_justice,Commutative Justice,virtue,species_of,concept.particular_justice,Particular Justice,virtue,['ann.concept-commutative-justice-species-of-concept-particular-justice-st-ii-ii-q061-a001-resp'],['st.ii-ii.q061.a001.resp'],['explicit_textual'],"['of one part to another, to which corresponds the order of one private individual to another. This order is directed by commutative justice , which is concerned about the mutual dealings between two persons . On the second place there is the order of the whole towards the parts, to which correspond']",reviewed_doctrinal
edge.concept.cursing.contrary_to.concept.charity,concept.cursing,Cursing,wrong_act,contrary_to,concept.charity,Charity,virtue,"['ann.concept-cursing-contrary-to-concept-charity-st-ii-ii-q076-a001-resp', 'ann.concept-cursing-contrary-to-concept-charity-st-ii-ii-q076-a003-resp']","['st.ii-ii.q076.a001.resp', 'st.ii-ii.q076.a003.resp']","['explicit_textual', 'strong_textual_inference']","['hen a thing is expressed in the indicative mood: in this way ""maledicere"" signifies simply to tell someone of another\'s evil , and this pertains to backbiting, wherefore tellers of evil [maledici] are sometimes called backbiters. Secondly, speaking is related to the thing spoken, by', 'mand or desire. Now to wish evil to another man , or to conduce to that evil by commanding it, is, of its very nature , contrary to charity whereby we love our neighbor by desiring his good . Consequently it is a mortal sin , according to its genus, and so much the graver, as the person whom we cur']",reviewed_doctrinal
edge.concept.defendant_role.directed_to.concept.truth_in_legal_proceedings,concept.defendant_role,Defendant,role,directed_to,concept.truth_in_legal_proceedings,Truth in Legal Proceedings,domain,['ann.concept-defendant-role-directed-to-concept-truth-in-legal-proceedings-st-ii-ii-q069-a001-resp'],['st.ii-ii.q069.a001.resp'],['strong_textual_inference'],"['Whoever acts against the due order of justice , sins mortally, as stated above ( II-II:59:4 ). Now it belongs to the order of justice that a man should obey his superior in those matters to which the right']",reviewed_doctrinal
edge.concept.derision.harms_domain.concept.honor,concept.derision,Derision,wrong_act,harms_domain,concept.honor,Honor,domain,"['ann.concept-derision-harms-domain-concept-honor-st-ii-ii-q075-a001-resp', 'ann.concept-derision-harms-domain-concept-honor-st-ii-ii-q075-a002-resp']","['st.ii-ii.q075.a001.resp', 'st.ii-ii.q075.a002.resp']",['strong_textual_inference'],"['ils, the backbiter to depreciate a good name , and the tale-bearer to destroy friendship, so too the derider intends to shame the person he derides. And since this end is distinct from the others, it follows that the sin of derision is distinct from the foregoing sins .', ""l or defect. Now when an evil is great, it is taken, not in jest, but seriously: consequently if it is taken in jest or turned to ridicule (whence the terms 'derision' and 'jesting'), this is because it is considered to be slight. Now an evil may be considered to be slight in two ways: first, in i""]",reviewed_doctrinal
edge.concept.dishonest_advocacy.abuses_role.concept.advocate_role,concept.dishonest_advocacy,Dishonest Advocacy,wrong_act,abuses_role,concept.advocate_role,Advocate,role,['ann.concept-dishonest-advocacy-abuses-role-concept-advocate-role-st-ii-ii-q071-a003-resp'],['st.ii-ii.q071.a003.resp'],['explicit_textual'],"['Now it is evident that an advocate provides both assistance and counsel to the party for whom he pleads. Wherefore, if knowingly he defends an unjust cause , without doubt he sins grievously, and is bound to restitution of the loss unjustly incurred by the other party by reason of the assistance he has provided. I']",reviewed_doctrinal
edge.concept.dishonest_advocacy.corrupts_process.concept.judicial_process,concept.dishonest_advocacy,Dishonest Advocacy,wrong_act,corrupts_process,concept.judicial_process,Judicial Process,process,['ann.concept-dishonest-advocacy-corrupts-process-concept-judicial-process-st-ii-ii-q071-a003-resp'],['st.ii-ii.q071.a003.resp'],['strong_textual_inference'],"['It is unlawful to cooperate in an evil deed , by counseling, helping, or in any way consenting, because to counsel or assist an action is, in a way, to do it, and the Apostle says ( Romans 1:32 ) that ""t']",reviewed_doctrinal
edge.concept.dishonest_advocacy.requires_restitution.concept.restitution,concept.dishonest_advocacy,Dishonest Advocacy,wrong_act,requires_restitution,concept.restitution,Restitution,act_type,['ann.concept-dishonest-advocacy-requires-restitution-concept-restitution-st-ii-ii-q071-a003-resp'],['st.ii-ii.q071.a003.resp'],['explicit_textual'],"['"" a sin , ""but they also that consent to them that do"" it. Hence it was stated above ( II-II:62:07 ), that all such are bound to restitution. Now it is evident that an advocate provides both assistance and counsel to the party for whom he pleads. Wherefore, if knowingly he defends an unjust cause ,']",reviewed_doctrinal
edge.concept.distributive_justice.directed_to.concept.fairness_in_distribution,concept.distributive_justice,Distributive Justice,virtue,directed_to,concept.fairness_in_distribution,Fairness in Distribution,domain,['ann.concept-distributive-justice-directed-to-concept-fairness-in-distribution-st-ii-ii-q061-a002-resp'],['st.ii-ii.q061.a002.resp'],['strong_textual_inference'],"['As stated above ( Article 1 ), in distributive justice something is given to a private individual , in so far as what belongs to the whole is due to the part, and in a quantity that is proportionate to the importance of the position of that part in respect of']",reviewed_doctrinal
edge.concept.distributive_justice.species_of.concept.particular_justice,concept.distributive_justice,Distributive Justice,virtue,species_of,concept.particular_justice,Particular Justice,virtue,['ann.concept-distributive-justice-species-of-concept-particular-justice-st-ii-ii-q061-a001-resp'],['st.ii-ii.q061.a001.resp'],['explicit_textual'],"['responds the order of that which belongs to the community in relation to each single person . This order is directed by distributive justice , which distributes common goods proportionately. Hence there are two species of justice , distributive and commutative.']",reviewed_doctrinal
edge.concept.dominion_right.species_of.concept.right,concept.dominion_right,Right of Dominion,object,species_of,concept.right,Right,object,['ann.concept-dominion-right-species-of-concept-right-st-ii-ii-q057-a004-resp'],['st.ii-ii.q057.a004.resp'],['strong_textual_inference'],"['Right or just depends on commensuration with another person . Now ""another"" has a twofold signification. First, it may denote something that is other simply, as that which is altogether distinct; as, for example, two men neither of whom is subject to the other']",reviewed_doctrinal
edge.concept.extortionate_advocacy.abuses_role.concept.advocate_role,concept.extortionate_advocacy,Extortionate Advocacy,wrong_act,abuses_role,concept.advocate_role,Advocate,role,['ann.concept-extortionate-advocacy-abuses-role-concept-advocate-role-st-ii-ii-q071-a004-resp'],['st.ii-ii.q071.a004.resp'],['strong_textual_inference'],"['for the matter in hand, for the labor entailed, and for the custom of the country. If, however, they wickedly extort an immoderate fee, they sin against justice . Hence Augustine says (Ep. cliii ad Macedon.) that ""it is customary to demand from them restitution of what they have extorted by a']",reviewed_doctrinal
edge.concept.extortionate_advocacy.harms_domain.concept.fairness_in_exchange,concept.extortionate_advocacy,Extortionate Advocacy,wrong_act,harms_domain,concept.fairness_in_exchange,Fairness in Exchange,domain,['ann.concept-extortionate-advocacy-harms-domain-concept-fairness-in-exchange-st-ii-ii-q071-a004-resp'],['st.ii-ii.q071.a004.resp'],['strong_textual_inference'],"[""A man may justly receive payment for granting what he is not bound to grant. Now it is evident that an advocate is not always bound to consent to plead, or to give advice in other people's cau""]",reviewed_doctrinal
edge.concept.false_accusation.abuses_role.concept.accuser_role,concept.false_accusation,False Accusation,wrong_act,abuses_role,concept.accuser_role,Accuser,role,['ann.concept-false-accusation-abuses-role-concept-accuser-role-st-ii-ii-q068-a003-resp'],['st.ii-ii.q068.a003.resp'],['strong_textual_inference'],"['As stated above ( Article 1 ), accusation is ordered for the common good which it aims at procuring by means of knowledge of the crime. Now no man ought to injure a person unjustly , in order to promote the common good . Wherefore a']",reviewed_doctrinal
edge.concept.false_accusation.corrupts_process.concept.judicial_process,concept.false_accusation,False Accusation,wrong_act,corrupts_process,concept.judicial_process,Judicial Process,process,['ann.concept-false-accusation-corrupts-process-concept-judicial-process-st-ii-ii-q068-a003-resp'],['st.ii-ii.q068.a003.resp'],['strong_textual_inference'],"['As stated above ( Article 1 ), accusation is ordered for the common good which it aims at procuring by means of knowledge of the crime. Now no man ought to injure a person unjustly , in order to promote the common good . Wherefore a man may sin in two ways when making an accusation: first thro']",reviewed_doctrinal
edge.concept.false_accusation.harms_domain.concept.reputation,concept.false_accusation,False Accusation,wrong_act,harms_domain,concept.reputation,Reputation,domain,['ann.concept-false-accusation-harms-domain-concept-reputation-st-ii-ii-q068-a003-resp'],['st.ii-ii.q068.a003.resp'],['strong_textual_inference'],"['ation is ordered for the common good which it aims at procuring by means of knowledge of the crime. Now no man ought to injure a person unjustly , in order to promote the common good . Wherefore a man may sin in two ways when making an accusation: first through acting unjustly against the accused, by ch']",reviewed_doctrinal
edge.concept.false_accusation.harms_domain.concept.truth_in_legal_proceedings,concept.false_accusation,False Accusation,wrong_act,harms_domain,concept.truth_in_legal_proceedings,Truth in Legal Proceedings,domain,['ann.concept-false-accusation-harms-domain-concept-truth-in-legal-proceedings-st-ii-ii-q068-a003-resp'],['st.ii-ii.q068.a003.resp'],['strong_textual_inference'],"['As stated above ( Article 1 ), accusation is ordered for the common good which it aims at procuring by means of knowledge of the crime. Now no man ought to injure a person unjustly , in order to promote the common good . Wherefore a man may sin in two ways when making an accusation: first thro']",reviewed_doctrinal
edge.concept.false_witness.abuses_role.concept.witness_role,concept.false_witness,False Witness,wrong_act,abuses_role,concept.witness_role,Witness,role,['ann.concept-false-witness-abuses-role-concept-witness-role-st-ii-ii-q070-a004-resp'],['st.ii-ii.q070.a004.resp'],['strong_textual_inference'],"['False evidence has a threefold deformity. The first is owing to perjury, since witnesses are admitted only on oath and on this count it is always a mortal sin . Secondly, owi']",reviewed_doctrinal
edge.concept.false_witness.corrupts_process.concept.judicial_process,concept.false_witness,False Witness,wrong_act,corrupts_process,concept.judicial_process,Judicial Process,process,['ann.concept-false-witness-corrupts-process-concept-judicial-process-st-ii-ii-q070-a004-resp'],['st.ii-ii.q070.a004.resp'],['strong_textual_inference'],"['False evidence has a threefold deformity. The first is owing to perjury, since witnesses are admitted only on oath and on this count it is always a mortal sin . Secondly, owi']",reviewed_doctrinal
edge.concept.false_witness.harms_domain.concept.truth_in_legal_proceedings,concept.false_witness,False Witness,wrong_act,harms_domain,concept.truth_in_legal_proceedings,Truth in Legal Proceedings,domain,['ann.concept-false-witness-harms-domain-concept-truth-in-legal-proceedings-st-ii-ii-q070-a004-resp'],['st.ii-ii.q070.a004.resp'],['strong_textual_inference'],"['False evidence has a threefold deformity. The first is owing to perjury, since witnesses are admitted only on oath and on this count it is always a mortal sin . Secondly, owi']",reviewed_doctrinal
edge.concept.false_witness.opposed_by.concept.justice,concept.false_witness,False Witness,wrong_act,opposed_by,concept.justice,Justice,virtue,['ann.concept-false-witness-opposed-by-concept-justice-st-ii-ii-q070-a004-resp'],['st.ii-ii.q070.a004.resp'],['strong_textual_inference'],"['. Secondly, owing to the violation of justice , and on this account it is a mortal sin generically, even as any kind of injustice . Hence the prohibition of false evidence by the precept of the decalogue is expressed in this form when it is said ( Exodus 20:16 ), ""Thou shalt not bear fals']",reviewed_doctrinal
edge.concept.general_justice.directed_to.concept.common_good,concept.general_justice,General Justice,virtue,directed_to,concept.common_good,Common Good,end,"['ann.concept-general-justice-directed-to-concept-common-good-st-ii-ii-q058-a005-resp', 'ann.concept-general-justice-directed-to-concept-common-good-st-ii-ii-q058-a006-resp', 'ann.concept-general-justice-directed-to-concept-common-good-st-ii-ii-q058-a012-resp']","['st.ii-ii.q058.a005.resp', 'st.ii-ii.q058.a006.resp', 'st.ii-ii.q058.a012.resp']","['explicit_textual', 'strong_textual_inference']","['such virtue direct man in relation to himself, or in relation to certain other individual persons , is referable to the common good , to which justice directs: so that all acts of virtue can pertain to justice , in so far as it directs man to the common good . It is in this sense that justi', 'l the virtues to the Divine good , so too is legal justice , in so far as it directs the acts of all the virtues to the common good . Accordingly, just as charity which regards the Divine good as its proper object, is a special virtue in respect of its essence , so too legal justice is a sp', 'If we speak of legal justice , it is evident that it stands foremost among all the moral virtues , for as much as the common good transcends the individual good of one person . On this sense the Philosopher declares (Ethic. v, 1) that ""the most excellent of the virtues would seem to be ju']",reviewed_doctrinal
edge.concept.general_justice.species_of.concept.justice,concept.general_justice,General Justice,virtue,species_of,concept.justice,Justice,virtue,['ann.concept-general-justice-species-of-concept-justice-st-ii-ii-q058-a005-resp'],['st.ii-ii.q058.a005.resp'],['explicit_textual'],['It is in this sense that justice is called a general virtue'],reviewed_doctrinal
edge.concept.injustice.contrary_to.concept.charity,concept.injustice,Injustice,vice,contrary_to,concept.charity,Charity,virtue,['ann.concept-injustice-contrary-to-concept-charity-st-ii-ii-q059-a004-resp'],['st.ii-ii.q059.a004.resp'],['explicit_textual'],"['As stated above ( I-II:12:5 ), when we were treating of the distinction of sins , a mortal sin is one that is contrary to charity which gives life to the soul . Now every injury inflicted on another person is of itself contrary to charity , which moves us to will the good of another. And']",reviewed_doctrinal
edge.concept.injustice.opposed_by.concept.justice,concept.injustice,Injustice,vice,opposed_by,concept.justice,Justice,virtue,['ann.concept-injustice-opposed-by-concept-justice-st-ii-ii-q059-a001-resp'],['st.ii-ii.q059.a001.resp'],['strong_textual_inference'],"['Injustice is twofold. First there is illegal injustice which is opposed to legal justice : and this is essentially a special vice , in so far as it regards a special object, namely the common good which it contemns; and yet it is a general vice , a']",reviewed_doctrinal
edge.concept.judge_role.directed_to.concept.justice,concept.judge_role,Judge,role,directed_to,concept.justice,Justice,virtue,['ann.concept-judge-role-directed-to-concept-justice-st-ii-ii-q067-a003-resp'],['st.ii-ii.q067.a003.resp'],['explicit_textual'],"['reter of justice . Wherefore, as the Philosopher says (Ethic. v, 4), ""men have recourse to a judge as to one who is the personification of justice ."" Now, as stated above ( II-II:58:2 ), justice is not between a man and himself but between one man and another. Hence a judge must needs judge between two pa']",reviewed_doctrinal
edge.concept.judgment.has_object.concept.right,concept.judgment,Judgment,act_type,has_object,concept.right,Right,object,['ann.concept-judgment-has-object-concept-right-st-ii-ii-q060-a001-resp'],['st.ii-ii.q060.a001.resp'],['explicit_textual'],"['Judgment properly denotes the act of a judge as such. Now a judge [judex] is so called because he asserts the right [jus dicens] and right is the object of justice , as stated above ( II-II:57:1 ). Consequently the original meaning of the word ""judgment"" is a statement or de']",reviewed_doctrinal
edge.concept.judgment.opposed_by.concept.respect_of_persons,concept.judgment,Judgment,act_type,opposed_by,concept.respect_of_persons,Respect of Persons,sin_type,['ann.concept-judgment-opposed-by-concept-respect-of-persons-st-ii-ii-q063-a004-resp'],['st.ii-ii.q063.a004.resp'],['strong_textual_inference'],"['As stated above ( II-II:60:1 ), judgment is an act of justice , in as much as the judge restores to the equality of justice , those things which may cause an opposite inequality. Now respect of persons involves a certain']",reviewed_doctrinal
edge.concept.judgment.regulated_by.concept.law,concept.judgment,Judgment,act_type,regulated_by,concept.law,Law,law,['ann.concept-judgment-regulated-by-concept-law-st-ii-ii-q060-a005-resp'],['st.ii-ii.q060.a005.resp'],['explicit_textual'],"['e ( II-II:57:2 ). Now laws are written for the purpose of manifesting both these rights, but in different ways. For the written law does indeed contain natural right, but it does not establish it, for the latter derives its force, not from the law but from nature : whereas the written law b']",reviewed_doctrinal
edge.concept.judgment.requires.concept.judge_role,concept.judgment,Judgment,act_type,requires,concept.judge_role,Judge,role,['ann.concept-judgment-requires-concept-judge-role-st-ii-ii-q060-a002-resp'],['st.ii-ii.q060.a002.resp'],['strong_textual_inference'],"['Judgment is lawful in so far as it is an act of justice . Now it follows from what has been stated above ( Article 1, Replies to 1 and 3 ) that three conditions are requisite for a judgment to be an act of justice : first, that it proceed from the inclination']",reviewed_doctrinal
edge.concept.judgment.requires.concept.justice,concept.judgment,Judgment,act_type,requires,concept.justice,Justice,virtue,['ann.concept-judgment-requires-concept-justice-st-ii-ii-q060-a002-resp'],['st.ii-ii.q060.a002.resp'],['strong_textual_inference'],"['far as it is an act of justice . Now it follows from what has been stated above ( Article 1, Replies to 1 and 3 ) that three conditions are requisite for a judgment to be an act of justice : first, that it proceed from the inclination of justice ; secondly, that it come from one who is in autho']",reviewed_doctrinal
edge.concept.judicial_process.requires.concept.accuser_role,concept.judicial_process,Judicial Process,process,requires,concept.accuser_role,Accuser,role,['ann.concept-judicial-process-requires-concept-accuser-role-st-ii-ii-q067-a003-resp'],['st.ii-ii.q067.a003.resp'],['explicit_textual'],"['se when one is the prosecutor, and the other the defendant. Therefore in criminal cases the judge cannot sentence a man unless the latter has an accuser, according to Acts 25:16 : ""It is not the custom of the Romans to condemn any man , before that he who is accused have his accusers present, and have liberty t']",reviewed_doctrinal
edge.concept.judicial_process.requires.concept.judge_role,concept.judicial_process,Judicial Process,process,requires,concept.judge_role,Judge,role,['ann.concept-judicial-process-requires-concept-judge-role-st-ii-ii-q067-a001-resp'],['st.ii-ii.q067.a001.resp'],['strong_textual_inference'],"[""A judge's sentence is like a particular law regarding some particular fact. Wherefore just as a general law should have coercive power, as the Philosopher states (Ethic. x, 9), s""]",reviewed_doctrinal
edge.concept.judicial_process.requires.concept.witness_role,concept.judicial_process,Judicial Process,process,requires,concept.witness_role,Witness,role,['ann.concept-judicial-process-requires-concept-witness-role-st-ii-ii-q070-a002-resp'],['st.ii-ii.q070.a002.resp'],['strong_textual_inference'],"['According to the Philosopher (Ethic. i, 3), ""we must not expect to find certitude equally in every matter."" For in human acts , on which judgments are passed and evidence required, it is impossible to have demonstrative certitude , because they a about things']",reviewed_doctrinal
edge.concept.just_price.directed_to.concept.fairness_in_exchange,concept.just_price,Just Price,doctrine,directed_to,concept.fairness_in_exchange,Fairness in Exchange,domain,['ann.concept-just-price-directed-to-concept-fairness-in-exchange-st-ii-ii-q077-a001-resp'],['st.ii-ii.q077.a001.resp'],['strong_textual_inference'],"['It is altogether sinful to have recourse to deceit in order to sell a thing for more than its just price, because this is to deceive one\'s neighbor so as to injure him. Hence Tully says (De Offic. iii, 15): ""Contracts should be entirely free from double-dealing: t']",reviewed_doctrinal
edge.concept.justice.has_act.concept.judgment,concept.justice,Justice,virtue,has_act,concept.judgment,Judgment,act_type,['ann.concept-justice-has-act-concept-judgment-st-ii-ii-q060-a001-resp'],['st.ii-ii.q060.a001.resp'],['explicit_textual'],"['es rightly about matters relating to chastity . Therefore judgment, which denotes a right decision about what is just , belongs properly to justice . For this reason the Philosopher says (Ethic. v, 4) that ""men have recourse to a judge as to one who is the personification of justice .""']",reviewed_doctrinal
edge.concept.justice.has_act.concept.rendering_due,concept.justice,Justice,virtue,has_act,concept.rendering_due,Rendering Due,act_type,['ann.concept-justice-has-act-concept-rendering-due-st-ii-ii-q058-a011-resp'],['st.ii-ii.q058.a011.resp'],['explicit_textual'],['Therefore the proper act of justice is nothing else than to render to each one his own.'],reviewed_doctrinal
edge.concept.justice.has_object.concept.right,concept.justice,Justice,virtue,has_object,concept.right,Right,object,['ann.concept-justice-has-object-concept-right-st-ii-ii-q057-a001-resp'],['st.ii-ii.q057.a001.resp'],['explicit_textual'],"['nd above the other virtues , and this object is called the just, which is the same as ""right."" Hence it is evident that right is the object of justice .']",reviewed_doctrinal
edge.concept.justice.resides_in.concept.will,concept.justice,Justice,virtue,resides_in,concept.will,Will,faculty,['ann.concept-justice-resides-in-concept-will-st-ii-ii-q058-a004-resp'],['st.ii-ii.q058.a004.resp'],['explicit_textual'],"['But since we are said to be just through doing something aright, and because the proximate principle of action is the appetitive power, justice must needs be in some appetitive power as its subject']",reviewed_doctrinal
edge.concept.justice.species_of.concept.virtue,concept.justice,Justice,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-justice-species-of-concept-virtue-st-ii-ii-q058-a003-resp'],['st.ii-ii.q058.a003.resp'],['explicit_textual'],"['A human virtue is one ""which renders a human act and man himself good "" [Ethic']",reviewed_doctrinal
edge.concept.maiming.abuses_role.concept.judge_role,concept.maiming,Maiming,wrong_act,abuses_role,concept.judge_role,Judge,role,['ann.concept-maiming-abuses-role-concept-judge-role-st-ii-ii-q065-a001-resp'],['st.ii-ii.q065.a001.resp'],['strong_textual_inference'],"['Since a member is part of the whole human body, it is for the sake of the whole, as the imperfect for the perfect. Hence a member of the human body is to be disposed of according as it is expedient for the body. Now a member of the human b']",reviewed_doctrinal
edge.concept.maiming.harms_domain.concept.bodily_integrity,concept.maiming,Maiming,wrong_act,harms_domain,concept.bodily_integrity,Bodily Integrity,domain,['ann.concept-maiming-harms-domain-concept-bodily-integrity-st-ii-ii-q065-a001-resp'],['st.ii-ii.q065.a001.resp'],['strong_textual_inference'],"['Since a member is part of the whole human body, it is for the sake of the whole, as the imperfect for the perfect. Hence a member of the human body is to be disposed of according as it is expedient for the']",reviewed_doctrinal
edge.concept.natural_right.species_of.concept.right,concept.natural_right,Natural Right,object,species_of,concept.right,Right,object,['ann.concept-natural-right-species-of-concept-right-st-ii-ii-q057-a002-resp'],['st.ii-ii.q057.a002.resp'],['explicit_textual'],"['first by its very nature , as when a man gives so much that he may receive equal value in return, and this is called "" natural right."" On another way a thing is adjusted or commensurated to another person , by agreement, or by common consent, when, to wit, a man deems himself satisfied, if h']",reviewed_doctrinal
