node_id,label,node_type,registry_status,description,notes
st.ii-ii.q161.a005,II-II q.161 a.5 — Its comparison with the other virtues,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q161.a006,II-II q.161 a.6 — The degrees of humility,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a001,II-II q.162 a.1 — Is pride a sin?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a002,II-II q.162 a.2 — Is it a special vice?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a003,II-II q.162 a.3 — Wherein does it reside as in its subject?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a004,II-II q.162 a.4 — Its species,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a005,II-II q.162 a.5 — Is it a mortal sin?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a006,II-II q.162 a.6 — Is it the most grievous of all sins?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a007,II-II q.162 a.7 — Its relation to other sins,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q162.a008,II-II q.162 a.8 — Should it be reckoned a capital vice?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q163.a001,II-II q.163 a.1 — Was pride the first man's first sin?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q163.a002,II-II q.163 a.2 — What the first man coveted by sinning,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q163.a003,II-II q.163 a.3 — Was his sin more grievous than all other sins?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q163.a004,"II-II q.163 a.4 — Which sinned more grievously, the man or the woman?",article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q164.a001,"II-II q.164 a.1 — Death, which is the common punishment",article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q164.a002,II-II q.164 a.2 — The other particular punishments mentioned in Genesis,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q165.a001,II-II q.165 a.1 — Was it fitting for man to be tempted by the devil?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q165.a002,II-II q.165 a.2 — The manner and order of that temptation,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q166.a001,II-II q.166 a.1 — What is the matter of studiousness?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q166.a002,II-II q.166 a.2 — Is it a part of temperance?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q167.a001,II-II q.167 a.1 — Can the vice of curiosity regard intellective knowledge?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q167.a002,II-II q.167 a.2 — Is it about sensitive knowledge?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q168.a001,II-II q.168 a.1 — Can there be virtue and vice in the outward movements of the body that are done seriously?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q168.a002,II-II q.168 a.2 — Can there be a virtue about playful actions?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q168.a003,II-II q.168 a.3 — The sin consisting in excess of play,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q168.a004,II-II q.168 a.4 — The sin consisting in lack of play,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q169.a001,II-II q.169 a.1 — Can there be virtue and vice in connection with outward apparel?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q169.a002,II-II q.169 a.2 — Do women sin mortally by excessive adornment?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q170.a001,II-II q.170 a.1 — The precepts of temperance itself,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q170.a002,II-II q.170 a.2 — The precepts of its parts,article,structural,Structural article node for the temperance closure tract.,
