node_id,label,node_type,registry_status,description,notes
st.ii-ii.q088.a009,II-II q.88 a.9,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a010,II-II q.88 a.10,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a011,II-II q.88 a.11,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a012,II-II q.88 a.12,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089,II-II q.89,question,structural,Structural question node for the religion tract.,
st.ii-ii.q089.a001,II-II q.89 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a002,II-II q.89 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a003,II-II q.89 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a004,II-II q.89 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a005,II-II q.89 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a006,II-II q.89 a.6,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a007,II-II q.89 a.7,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a008,II-II q.89 a.8,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a009,II-II q.89 a.9,article,structural,Structural article node for the religion tract.,
st.ii-ii.q089.a010,II-II q.89 a.10,article,structural,Structural article node for the religion tract.,
st.ii-ii.q090,II-II q.90,question,structural,Structural question node for the religion tract.,
st.ii-ii.q090.a001,II-II q.90 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q090.a002,II-II q.90 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q090.a003,II-II q.90 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q091,II-II q.91,question,structural,Structural question node for the religion tract.,
st.ii-ii.q091.a001,II-II q.91 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q091.a002,II-II q.91 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q092,II-II q.92,question,structural,Structural question node for the religion tract.,
st.ii-ii.q092.a001,II-II q.92 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q092.a002,II-II q.92 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q093,II-II q.93,question,structural,Structural question node for the religion tract.,
st.ii-ii.q093.a001,II-II q.93 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q093.a002,II-II q.93 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q094,II-II q.94,question,structural,Structural question node for the religion tract.,
st.ii-ii.q094.a001,II-II q.94 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q094.a002,II-II q.94 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q094.a003,II-II q.94 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q094.a004,II-II q.94 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095,II-II q.95,question,structural,Structural question node for the religion tract.,
st.ii-ii.q095.a001,II-II q.95 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a002,II-II q.95 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a003,II-II q.95 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a004,II-II q.95 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a005,II-II q.95 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a006,II-II q.95 a.6,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a007,II-II q.95 a.7,article,structural,Structural article node for the religion tract.,
st.ii-ii.q095.a008,II-II q.95 a.8,article,structural,Structural article node for the religion tract.,
st.ii-ii.q096,II-II q.96,question,structural,Structural question node for the religion tract.,
st.ii-ii.q096.a001,II-II q.96 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q096.a002,II-II q.96 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q096.a003,II-II q.96 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q096.a004,II-II q.96 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q097,II-II q.97,question,structural,Structural question node for the religion tract.,
st.ii-ii.q097.a001,II-II q.97 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q097.a002,II-II q.97 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q097.a003,II-II q.97 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q097.a004,II-II q.97 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q098,II-II q.98,question,structural,Structural question node for the religion tract.,
st.ii-ii.q098.a001,II-II q.98 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q098.a002,II-II q.98 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q098.a003,II-II q.98 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q098.a004,II-II q.98 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q099,II-II q.99,question,structural,Structural question node for the religion tract.,
st.ii-ii.q099.a001,II-II q.99 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q099.a002,II-II q.99 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q099.a003,II-II q.99 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q099.a004,II-II q.99 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100,II-II q.100,question,structural,Structural question node for the religion tract.,
st.ii-ii.q100.a001,II-II q.100 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100.a002,II-II q.100 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100.a003,II-II q.100 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100.a004,II-II q.100 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100.a005,II-II q.100 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q100.a006,II-II q.100 a.6,article,structural,Structural article node for the religion tract.,
