edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,part_taxonomy
edge.concept.craftiness.treated_in.st.ii-ii.q055.a003,concept.craftiness,Craftiness,vice,treated_in,st.ii-ii.q055.a003,II-II q.55 a.3 — Is craftiness a special sin?,article,['ann.st-ii-ii-q055-a003-resp-concept-craftiness-treated-in-st-ii-ii-q055-a003'],['st.ii-ii.q055.a003.resp'],['explicit_textual'],"['secondly, when, in order to obtain a certain end, whether good or evil , a man uses means that are not true but fictitious and counterfeit, and this belongs to the sin of craftiness']",reviewed_doctrinal,
edge.concept.craftiness.treated_in.st.ii-ii.q055.a008,concept.craftiness,Craftiness,vice,treated_in,st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,['ann.st-ii-ii-q055-a008-resp-concept-craftiness-treated-in-st-ii-ii-q055-a008'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],"['II-II:47:13 ), carnal prudence and craftiness, as well as guile and fraud , bear a certain resemblance to prudence in some kind of use of the reason']",reviewed_doctrinal,
edge.concept.craftiness.treated_in.st.ii-ii.q056.a002,concept.craftiness,Craftiness,vice,treated_in,st.ii-ii.q056.a002,II-II q.56 a.2 — The precepts relating to the opposite vices,article,['ann.st-ii-ii-q056-a002-resp-concept-craftiness-treated-in-st-ii-ii-q056-a002'],['st.ii-ii.q056.a002.resp'],['explicit_textual'],"['Now craftiness, as to its execution, is committed chiefly in matters of justice , as stated above ( II-II:55:8 ): and so it was fitting that the Law should contain precepts forbidding the execution of craftiness, in so far as this pertains to injustice , as when a man uses guile and fraud in calumniating another or in stealing his goods.']",reviewed_doctrinal,
edge.concept.docility.integral_part_of.concept.prudence,concept.docility,Docility,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-docility-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,integral
edge.concept.docility.treated_in.st.ii-ii.q048.a001,concept.docility,Docility,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-docility-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,
edge.concept.docility.treated_in.st.ii-ii.q049.a003,concept.docility,Docility,prudence_part,treated_in,st.ii-ii.q049.a003,II-II q.49 a.3 — Docility,article,['ann.st-ii-ii-q049-a003-resp-concept-docility-treated-in-st-ii-ii-q049-a003'],['st.ii-ii.q049.a003.resp'],['explicit_textual'],"['the old men), ""that are wise, and join thyself from thy heart to their wisdom."" Now it is a mark of docility to be ready to be taught: and consequently docility is fittingly reckoned a part of prudence']",reviewed_doctrinal,
edge.concept.domestic_prudence.subjective_part_of.concept.prudence,concept.domestic_prudence,Domestic Prudence,prudence_part,subjective_part_of,concept.prudence,Prudence,virtue,"['ann.st-ii-ii-q048-a001-resp-concept-domestic-prudence-subjective-part-of-concept-prudence', 'ann.st-ii-ii-q050-a003-resp-concept-domestic-prudence-subjective-part-of-concept-prudence']","['st.ii-ii.q048.a001.resp', 'st.ii-ii.q050.a003.resp']",['explicit_textual'],"['such is the multitude of a home or family , and this is ruled by ""domestic prudence "": and such again is the multitude of a city or kingdom, the ruling principle of which is ""regnative prudence "" in the ruler, and ""political prudence ,"" simply so called, in the subjects', 'And therefore, just as prudence commonly so called which governs the individual , is distinct from political prudence , so must domestic prudence be distinct from both.']",reviewed_doctrinal,subjective
edge.concept.domestic_prudence.treated_in.st.ii-ii.q048.a001,concept.domestic_prudence,Domestic Prudence,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-domestic-prudence-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['such is the multitude of a home or family , and this is ruled by ""domestic prudence "": and such again is the multitude of a city or kingdom, the ruling principle of which is ""regnative prudence "" in the ruler, and ""political prudence ,"" simply so called, in the subjects']",reviewed_doctrinal,
edge.concept.domestic_prudence.treated_in.st.ii-ii.q050.a003,concept.domestic_prudence,Domestic Prudence,prudence_part,treated_in,st.ii-ii.q050.a003,II-II q.50 a.3 — Is domestic economy a species of prudence?,article,['ann.st-ii-ii-q050-a003-resp-concept-domestic-prudence-treated-in-st-ii-ii-q050-a003'],['st.ii-ii.q050.a003.resp'],['explicit_textual'],"['And therefore, just as prudence commonly so called which governs the individual , is distinct from political prudence , so must domestic prudence be distinct from both.']",reviewed_doctrinal,
edge.concept.euboulia.potential_part_of.concept.prudence,concept.euboulia,Euboulia,prudence_part,potential_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-euboulia-potential-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['On this way the parts of prudence are "" good counsel,"" which concerns counsel, ""synesis,"" which concerns judgment in matters of ordinary occurrence, and ""gnome,"" which concerns judgment in matters of exception to the law : while "" prudence "" is about the chief act, viz']",reviewed_doctrinal,potential
edge.concept.euboulia.treated_in.st.ii-ii.q048.a001,concept.euboulia,Euboulia,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-euboulia-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['On this way the parts of prudence are "" good counsel,"" which concerns counsel, ""synesis,"" which concerns judgment in matters of ordinary occurrence, and ""gnome,"" which concerns judgment in matters of exception to the law : while "" prudence "" is about the chief act, viz']",reviewed_doctrinal,
edge.concept.euboulia.treated_in.st.ii-ii.q051.a001,concept.euboulia,Euboulia,prudence_part,treated_in,st.ii-ii.q051.a001,II-II q.51 a.1 — Is euboulia a virtue?,article,['ann.st-ii-ii-q051-a001-resp-concept-euboulia-treated-in-st-ii-ii-q051-a001'],['st.ii-ii.q051.a001.resp'],['explicit_textual'],"['But euboulia (deliberating well) signifies goodness of counsel, for it is derived from the eu , good , and boule , counsel, being ""a good counsel"" or rather ""a disposition to take good counsel."" Hence it is evident that euboulia (deliberating well) is a human virtue .']",reviewed_doctrinal,
edge.concept.euboulia.treated_in.st.ii-ii.q051.a002,concept.euboulia,Euboulia,prudence_part,treated_in,st.ii-ii.q051.a002,"II-II q.51 a.2 — Is it a special virtue, distinct from prudence?",article,['ann.st-ii-ii-q051-a002-resp-concept-euboulia-treated-in-st-ii-ii-q051-a002'],['st.ii-ii.q051.a002.resp'],['explicit_textual'],"['Consequently euboulia (deliberating well) which makes man take good counsel must needs be a distinct virtue from prudence , which makes man command well']",reviewed_doctrinal,
edge.concept.false_prudence.treated_in.st.ii-ii.q047.a013,concept.false_prudence,False Prudence,vice,treated_in,st.ii-ii.q047.a013,II-II q.47 a.13 — Is prudence in the wicked?,article,['ann.st-ii-ii-q047-a013-resp-concept-false-prudence-treated-in-st-ii-ii-q047-a013'],['st.ii-ii.q047.a013.resp'],['explicit_textual'],"['There is a false prudence , which takes its name from its likeness to true prudence']",reviewed_doctrinal,
edge.concept.foresight.integral_part_of.concept.prudence,concept.foresight,Foresight,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-foresight-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,integral
edge.concept.foresight.treated_in.st.ii-ii.q048.a001,concept.foresight,Foresight,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-foresight-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,
edge.concept.foresight.treated_in.st.ii-ii.q049.a006,concept.foresight,Foresight,prudence_part,treated_in,st.ii-ii.q049.a006,II-II q.49 a.6 — foresight,article,['ann.st-ii-ii-q049-a006-resp-concept-foresight-treated-in-st-ii-ii-q049-a006'],['st.ii-ii.q049.a006.resp'],['explicit_textual'],"['Consequently, future contingents, in so far as they can be directed by man to the end of human life, are the matter of prudence : and each of these things is implied in the word foresight, for it implies the notion of something distant, to which that which occurs in the present has to be directed']",reviewed_doctrinal,
edge.concept.fraud.caused_by.concept.covetousness,concept.fraud,Fraud,vice,caused_by,concept.covetousness,Covetousness,vice,['ann.st-ii-ii-q055-a008-resp-concept-fraud-caused-by-concept-covetousness'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],['Therefore the aforesaid vices arise chiefly from covetousness .'],reviewed_doctrinal,
edge.concept.fraud.caused_by.concept.craftiness,concept.fraud,Fraud,vice,caused_by,concept.craftiness,Craftiness,vice,['ann.st-ii-ii-q055-a005-resp-concept-fraud-caused-by-concept-craftiness'],['st.ii-ii.q055.a005.resp'],['strong_textual_inference'],"['Just as ""guile"" consists in the execution of craftiness, so also does "" fraud ."" But they seem to differ in the fact that ""guile"" belongs in general to the execution of craftiness, whether this be effected by words, or by deeds , whereas "" fraud "" belongs more properly to the execution of craftiness by deeds .']",reviewed_doctrinal,
edge.concept.fraud.treated_in.st.ii-ii.q055.a005,concept.fraud,Fraud,vice,treated_in,st.ii-ii.q055.a005,II-II q.55 a.5 — Fraud,article,['ann.st-ii-ii-q055-a005-resp-concept-fraud-treated-in-st-ii-ii-q055-a005'],['st.ii-ii.q055.a005.resp'],['explicit_textual'],"['Just as ""guile"" consists in the execution of craftiness, so also does "" fraud ."" But they seem to differ in the fact that ""guile"" belongs in general to the execution of craftiness, whether this be effected by words, or by deeds , whereas "" fraud "" belongs more properly to the execution of craftiness by deeds .']",reviewed_doctrinal,
edge.concept.fraud.treated_in.st.ii-ii.q055.a008,concept.fraud,Fraud,vice,treated_in,st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,['ann.st-ii-ii-q055-a008-resp-concept-fraud-treated-in-st-ii-ii-q055-a008'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],"['II-II:47:13 ), carnal prudence and craftiness, as well as guile and fraud , bear a certain resemblance to prudence in some kind of use of the reason']",reviewed_doctrinal,
edge.concept.future_solicitude.contrary_to.concept.prudence,concept.future_solicitude,Solicitude about the Future,defect,contrary_to,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q055-a007-resp-concept-future-solicitude-contrary-to-concept-prudence'],['st.ii-ii.q055.a007.resp'],['strong_textual_inference'],"['Hence Our Lord forbids such like excessive solicitude, saying: ""Be . . . not solicitous for tomorrow,"" wherefore He adds, ""for the morrow will be solicitous for itself,"" that is to say, the morrow will have its own solicitude, which will be burden enough for the soul']",reviewed_doctrinal,
edge.concept.future_solicitude.treated_in.st.ii-ii.q055.a007,concept.future_solicitude,Solicitude about the Future,defect,treated_in,st.ii-ii.q055.a007,II-II q.55 a.7 — Solicitude about the future,article,['ann.st-ii-ii-q055-a007-resp-concept-future-solicitude-treated-in-st-ii-ii-q055-a007'],['st.ii-ii.q055.a007.resp'],['explicit_textual'],"['not solicitous for tomorrow,"" wherefore He adds, ""for the morrow will be solicitous for itself,"" that is to say, the morrow will have its own solicitude, which will be burden enough for the soul']",reviewed_doctrinal,
edge.concept.gnome.potential_part_of.concept.prudence,concept.gnome,Gnome,prudence_part,potential_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-gnome-potential-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['On this way the parts of prudence are "" good counsel,"" which concerns counsel, ""synesis,"" which concerns judgment in matters of ordinary occurrence, and ""gnome,"" which concerns judgment in matters of exception to the law : while "" prudence "" is about the chief act, viz']",reviewed_doctrinal,potential
edge.concept.gnome.treated_in.st.ii-ii.q048.a001,concept.gnome,Gnome,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-gnome-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['On this way the parts of prudence are "" good counsel,"" which concerns counsel, ""synesis,"" which concerns judgment in matters of ordinary occurrence, and ""gnome,"" which concerns judgment in matters of exception to the law : while "" prudence "" is about the chief act, viz']",reviewed_doctrinal,
edge.concept.gnome.treated_in.st.ii-ii.q051.a004,concept.gnome,Gnome,prudence_part,treated_in,st.ii-ii.q051.a004,II-II q.51 a.4 — Is gnome a special virtue?,article,['ann.st-ii-ii-q051-a004-resp-concept-gnome-treated-in-st-ii-ii-q051-a004'],['st.ii-ii.q051.a004.resp'],['explicit_textual'],"['Hence it is necessary to judge of such matters according to higher principles than the common laws, according to which synesis (judging according to common law ) judges: and corresponding to such higher principles it is necessary to have a higher virtue of judgment, which is called gnome (judging according to general law ), and which denotes a certain discrimination in judgment.']",reviewed_doctrinal,
edge.concept.guile.caused_by.concept.covetousness,concept.guile,Guile,vice,caused_by,concept.covetousness,Covetousness,vice,['ann.st-ii-ii-q055-a008-resp-concept-guile-caused-by-concept-covetousness'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],['Therefore the aforesaid vices arise chiefly from covetousness .'],reviewed_doctrinal,
edge.concept.guile.caused_by.concept.craftiness,concept.guile,Guile,vice,caused_by,concept.craftiness,Craftiness,vice,['ann.st-ii-ii-q055-a004-resp-concept-guile-caused-by-concept-craftiness'],['st.ii-ii.q055.a004.resp'],['strong_textual_inference'],"['Hence guile denotes a certain execution of craftiness, and accordingly belongs thereto.']",reviewed_doctrinal,
edge.concept.guile.treated_in.st.ii-ii.q055.a004,concept.guile,Guile,vice,treated_in,st.ii-ii.q055.a004,II-II q.55 a.4 — Guile,article,['ann.st-ii-ii-q055-a004-resp-concept-guile-treated-in-st-ii-ii-q055-a004'],['st.ii-ii.q055.a004.resp'],['explicit_textual'],"['Secondly the adopting of such like ways may be considered with regard to their actual execution, and in this way it belongs to guile']",reviewed_doctrinal,
edge.concept.guile.treated_in.st.ii-ii.q055.a008,concept.guile,Guile,vice,treated_in,st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,['ann.st-ii-ii-q055-a008-resp-concept-guile-treated-in-st-ii-ii-q055-a008'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],"['II-II:47:13 ), carnal prudence and craftiness, as well as guile and fraud , bear a certain resemblance to prudence in some kind of use of the reason']",reviewed_doctrinal,
edge.concept.imprudence.opposed_by.concept.prudence,concept.imprudence,Imprudence,vice,opposed_by,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q053-a001-resp-concept-imprudence-opposed-by-concept-prudence'],['st.ii-ii.q053.a001.resp'],['strong_textual_inference'],"[""Taken as a privation, imprudence denotes lack of that prudence which a man can and ought to have, and in this sense imprudence is a sin by reason of a man's negligence in striving to have prudence""]",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a001,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a001,II-II q.53 a.1 — Is imprudence a sin?,article,['ann.st-ii-ii-q053-a001-resp-concept-imprudence-treated-in-st-ii-ii-q053-a001'],['st.ii-ii.q053.a001.resp'],['explicit_textual'],"['Imprudence may be taken in two ways, first, as a privation, secondly, as a contrary']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a002,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a002,II-II q.53 a.2 — Is it a special sin?,article,['ann.st-ii-ii-q053-a002-resp-concept-imprudence-treated-in-st-ii-ii-q053-a002'],['st.ii-ii.q053.a002.resp'],['explicit_textual'],"['On the first way, a vice may be said to be general on two counts: first, essentially , because it is predicated of all sins : and in this way imprudence is not a general sin , as neither is prudence a general virtue : since it is concerned with special acts, namely the very acts of reason: secondly, by participation']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a003,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a003,II-II q.53 a.3 — Precipitation or temerity,article,['ann.st-ii-ii-q053-a003-resp-concept-imprudence-treated-in-st-ii-ii-q053-a003'],['st.ii-ii.q053.a003.resp'],['explicit_textual'],"['Since then inordinate counsel pertains to imprudence, it is evident that the vice of precipitation is contained under imprudence.']",reviewed_doctrinal,
edge.concept.imprudence.treated_in.st.ii-ii.q053.a004,concept.imprudence,Imprudence,vice,treated_in,st.ii-ii.q053.a004,II-II q.53 a.4 — Thoughtlessness,article,['ann.st-ii-ii-q053-a004-resp-concept-imprudence-treated-in-st-ii-ii-q053-a004'],['st.ii-ii.q053.a004.resp'],['strong_textual_inference'],"['Thought signifies the act of the intellect in considering the truth about. something. Now just as research belongs to the reason, so judgment belongs to the intellect . Wherefore in speculative matters a demonstrative science is said to exercise judgment, in s']",reviewed_doctrinal,
