node_id,label,node_type,origin,source_scope,notes
concept.involuntary_act,Involuntary Act,act_type,registry,st.i-ii.q006,
concept.justice,Justice,virtue,registry,st.ii-ii.q058,
concept.knowledge,Knowledge,doctrine,registry,st.ii-ii.q171,
concept.law,Law,law,registry,st.i-ii.q090,Generic law is kept distinct from named law-types unless the text is explicit.
concept.love_passion,Love (Passion),passion,registry,pilot_registry_seed,Bare 'love' is ambiguous between passion-language and charity.
concept.merit,Merit,act_type,registry,st.i-ii.q109,
concept.natural_law,Natural Law,law_type,registry,pilot_registry_seed,
concept.object_of_faith,Object of Faith,doctrine,registry,st.ii-ii.q001,
concept.operating_grace,Operating Grace,grace_type,registry,pilot_registry_seed,
concept.operative_habit,Operative Habit,habit,registry,st.i-ii.q055,
concept.particular_justice,Particular Justice,virtue,registry,st.ii-ii.q058,
concept.passion,Passion,passion,registry,st.i-ii.q022,
concept.perseverance,Perseverance,act_type,registry,st.i-ii.q109,
concept.practical_reason,Practical Reason,faculty,registry,st.ii-ii.q047,
concept.precept,Precept,precept,registry,pilot_registry_seed,
concept.promulgation,Promulgation,act_type,registry,st.i-ii.q090,
concept.prophecy,Prophecy,charism,registry,st.ii-ii.q171,Prophecy in the pilot slice is kept distinct from the gifts of the Holy Spirit.
concept.prudence,Prudence,virtue,registry,st.ii-ii.q047,
concept.prudence_of_flesh,Prudence of the Flesh,vice,registry,st.ii-ii.q047,Keep distinct from generic false prudence.
concept.reason,Reason,faculty,registry,st.i-ii.q090 | st.ii-ii.q047,
concept.rendering_due,Rendering Due,act_type,registry,st.ii-ii.q058,
concept.sensitive_appetite,Sensitive Appetite,faculty,registry,st.i-ii.q022,
concept.sin,Sin,sin_type,registry,st.i-ii.q071 | st.i-ii.q109,
concept.solicitude,Solicitude,act_type,registry,st.ii-ii.q047,
concept.symbol_of_faith,Symbol of Faith,doctrine,registry,st.ii-ii.q001,
concept.ultimate_end,Ultimate End,end,registry,st.i-ii.q001,Keep distinct from Beatitude when a passage speaks only of end or final causality.
concept.use_act,Use,act_type,registry,pilot_registry_seed,
concept.vice,Vice,vice,registry,st.i-ii.q071,
concept.virtue,Virtue,virtue,registry,st.i-ii.q055 | st.i-ii.q071 | st.ii-ii.q023 | st.ii-ii.q047 | st.ii-ii.q058,Do not collapse generic virtue into a specific virtue without explicit passage support.
concept.voluntary_act,Voluntary Act,act_type,registry,st.i-ii.q006,
concept.will,Will,faculty,registry,st.i-ii.q006 | st.ii-ii.q058,
st.i-ii.q001,I-II q.1 — Man's last end,question,structural,st.i-ii.q001,
st.i-ii.q006,I-II q.6 — The voluntary and the involuntary,question,structural,st.i-ii.q006,
st.i-ii.q022,I-II q.22 — The subject of the soul's passions,question,structural,st.i-ii.q022,
st.i-ii.q055,"I-II q.55 — The virtues, as to their essence",question,structural,st.i-ii.q055,
st.i-ii.q071,I-II q.71 — Vice and sin considered in themselves,question,structural,st.i-ii.q071,
st.i-ii.q090,I-II q.90 — The essence of law,question,structural,st.i-ii.q090,
st.i-ii.q109,I-II q.109 — The necessity of grace,question,structural,st.i-ii.q109,
st.ii-ii.q001,II-II q.1 — Faith,question,structural,st.ii-ii.q001,
st.ii-ii.q023,"II-II q.23 — Charity, considered in itself",question,structural,st.ii-ii.q023,
st.ii-ii.q047,"II-II q.47 — Prudence, considered in itself",question,structural,st.ii-ii.q047,
st.ii-ii.q058,II-II q.58 — Justice,question,structural,st.ii-ii.q058,
st.ii-ii.q171,II-II q.171 — Prophecy,question,structural,st.ii-ii.q171,
st.i-ii.q001.a001,I-II q.1 a.1 — Does it belong to man to act for an end?,article,structural,st.i-ii.q001,
st.i-ii.q001.a002,I-II q.1 a.2 — Is this proper to the rational nature?,article,structural,st.i-ii.q001,
st.i-ii.q001.a003,I-II q.1 a.3 — Are a man's actions specified by their end?,article,structural,st.i-ii.q001,
st.i-ii.q001.a004,I-II q.1 a.4 — Is there any last end of human life?,article,structural,st.i-ii.q001,
st.i-ii.q001.a005,I-II q.1 a.5 — Can one man have several last ends?,article,structural,st.i-ii.q001,
st.i-ii.q001.a006,I-II q.1 a.6 — Does man ordain all to the last end?,article,structural,st.i-ii.q001,
st.i-ii.q001.a007,I-II q.1 a.7 — Do all men have the same last end?,article,structural,st.i-ii.q001,
st.i-ii.q001.a008,I-II q.1 a.8 — Do all other creatures concur with man in that last end?,article,structural,st.i-ii.q001,
st.i-ii.q006.a001,I-II q.6 a.1 — Is there anything voluntary in human acts?,article,structural,st.i-ii.q006,
st.i-ii.q006.a002,I-II q.6 a.2 — In irrational animals?,article,structural,st.i-ii.q006,
st.i-ii.q006.a003,I-II q.6 a.3 — Can there be voluntariness without any action?,article,structural,st.i-ii.q006,
st.i-ii.q006.a004,I-II q.6 a.4 — Can violence be done to the will?,article,structural,st.i-ii.q006,
st.i-ii.q006.a005,I-II q.6 a.5 — Does violence cause involuntariness?,article,structural,st.i-ii.q006,
st.i-ii.q006.a006,I-II q.6 a.6 — Does fear cause involuntariness?,article,structural,st.i-ii.q006,
st.i-ii.q006.a007,I-II q.6 a.7 — Does concupiscence cause involuntariness?,article,structural,st.i-ii.q006,
st.i-ii.q006.a008,I-II q.6 a.8 — Does ignorance cause involuntariness?,article,structural,st.i-ii.q006,
st.i-ii.q022.a001,I-II q.22 a.1 — Is there any passion in the soul?,article,structural,st.i-ii.q022,
st.i-ii.q022.a002,I-II q.22 a.2 — Is passion in the appetitive rather than in the apprehensive part?,article,structural,st.i-ii.q022,
st.i-ii.q022.a003,"I-II q.22 a.3 — Is passion in the sensitive appetite rather than in the intellectual appetite, which is called the will?",article,structural,st.i-ii.q022,
st.i-ii.q055.a001,I-II q.55 a.1 — Is human virtue a habit?,article,structural,st.i-ii.q055,
st.i-ii.q055.a002,I-II q.55 a.2 — Is it an operative habit?,article,structural,st.i-ii.q055,
st.i-ii.q055.a003,I-II q.55 a.3 — Is it a good habit?,article,structural,st.i-ii.q055,
st.i-ii.q055.a004,I-II q.55 a.4 — The definition of virtue,article,structural,st.i-ii.q055,
st.i-ii.q071.a001,I-II q.71 a.1 — Is vice contrary to virtue?,article,structural,st.i-ii.q071,
st.i-ii.q071.a002,I-II q.71 a.2 — Is vice contrary to nature?,article,structural,st.i-ii.q071,
st.i-ii.q071.a003,"I-II q.71 a.3 — Which is worse, a vice or a vicious act?",article,structural,st.i-ii.q071,
st.i-ii.q071.a004,I-II q.71 a.4 — Is a vicious act compatible with virtue?,article,structural,st.i-ii.q071,
st.i-ii.q071.a005,I-II q.71 a.5 — Does every sin include action?,article,structural,st.i-ii.q071,
st.i-ii.q071.a006,"I-II q.71 a.6 — The definition of sin proposed by Augustine (Contra Faust. xxii): ""Sin is a word, deed, or desire against the eternal law""",article,structural,st.i-ii.q071,
st.i-ii.q090.a001,I-II q.90 a.1 — Is law something pertaining to reason?,article,structural,st.i-ii.q090,
st.i-ii.q090.a002,I-II q.90 a.2 — The end of law,article,structural,st.i-ii.q090,
st.i-ii.q090.a003,I-II q.90 a.3 — Its cause,article,structural,st.i-ii.q090,
st.i-ii.q090.a004,I-II q.90 a.4 — The promulgation of law,article,structural,st.i-ii.q090,
st.i-ii.q109.a001,"I-II q.109 a.1 — Without grace, can man know anything?",article,structural,st.i-ii.q109,
st.i-ii.q109.a002,"I-II q.109 a.2 — Without God's grace, can man do or wish any good?",article,structural,st.i-ii.q109,
st.i-ii.q109.a003,"I-II q.109 a.3 — Without grace, can man love God above all things?",article,structural,st.i-ii.q109,
st.i-ii.q109.a004,"I-II q.109 a.4 — Without grace, can man keep the commandments of the Law?",article,structural,st.i-ii.q109,
st.i-ii.q109.a005,"I-II q.109 a.5 — Without grace, can he merit eternal life?",article,structural,st.i-ii.q109,
st.i-ii.q109.a006,"I-II q.109 a.6 — Without grace, can man prepare himself for grace?",article,structural,st.i-ii.q109,
st.i-ii.q109.a007,"I-II q.109 a.7 — Without grace, can he rise from sin?",article,structural,st.i-ii.q109,
st.i-ii.q109.a008,"I-II q.109 a.8 — Without grace, can man avoid sin?",article,structural,st.i-ii.q109,
st.i-ii.q109.a009,"I-II q.109 a.9 — Having received grace, can man do good and avoid sin without any further Divine help?",article,structural,st.i-ii.q109,
st.i-ii.q109.a010,I-II q.109 a.10 — Can he of himself persevere in good?,article,structural,st.i-ii.q109,
st.ii-ii.q001.a001,II-II q.1 a.1 — Is the object of faith the First Truth?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a002,"II-II q.1 a.2 — Is the object of faith something complex or incomplex, i.e. is it a thing or a proposition?",article,structural,st.ii-ii.q001,
st.ii-ii.q001.a003,II-II q.1 a.3 — Can anything false come under faith?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a004,II-II q.1 a.4 — Can the object of faith be anything seen?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a005,II-II q.1 a.5 — Can it be anything known?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a006,II-II q.1 a.6 — Should the things to be believed be divided into a certain number of articles?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a007,II-II q.1 a.7 — These articles: are they of faith for all times?,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a008,II-II q.1 a.8 — The number of articles,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a009,II-II q.1 a.9 — The manner of embodying the articles in a symbol,article,structural,st.ii-ii.q001,
st.ii-ii.q001.a010,II-II q.1 a.10 — Who has the right to propose a symbol of faith?,article,structural,st.ii-ii.q001,
st.ii-ii.q023.a001,II-II q.23 a.1 — Is charity friendship?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a002,II-II q.23 a.2 — Is it something created in the soul?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a003,II-II q.23 a.3 — Is it a virtue?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a004,II-II q.23 a.4 — Is it a special virtue?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a005,II-II q.23 a.5 — Is it one virtue?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a006,II-II q.23 a.6 — Is it the greatest of the virtues?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a007,II-II q.23 a.7 — Is any true virtue possible without it?,article,structural,st.ii-ii.q023,
st.ii-ii.q023.a008,II-II q.23 a.8 — Is it the form of the virtues?,article,structural,st.ii-ii.q023,
st.ii-ii.q047.a001,II-II q.47 a.1 — Is prudence in the will or in the reason?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a002,"II-II q.47 a.2 — If in the reason, is it only in the practical, or also in the speculative reason?",article,structural,st.ii-ii.q047,
st.ii-ii.q047.a003,II-II q.47 a.3 — Does it take cognizance of singulars?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a004,II-II q.47 a.4 — Is it virtue?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a005,II-II q.47 a.5 — Is it a special virtue?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a006,II-II q.47 a.6 — Does it appoint the end to the moral virtues?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a007,II-II q.47 a.7 — Does it fix the mean in the moral virtues?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a008,II-II q.47 a.8 — Is its proper act command?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a009,II-II q.47 a.9 — Does solicitude or watchfulness belong to prudence?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a010,II-II q.47 a.10 — Does prudence extend to the governing of many?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a011,II-II q.47 a.11 — Is the prudence which regards private good the same in species as that which regards the common good?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a012,"II-II q.47 a.12 — Is prudence in subjects, or only in their rulers?",article,structural,st.ii-ii.q047,
st.ii-ii.q047.a013,II-II q.47 a.13 — Is prudence in the wicked?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a014,II-II q.47 a.14 — Is prudence in all good men?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a015,II-II q.47 a.15 — Is prudence in us naturally?,article,structural,st.ii-ii.q047,
st.ii-ii.q047.a016,II-II q.47 a.16 — Is prudence lost by forgetfulness?,article,structural,st.ii-ii.q047,
st.ii-ii.q058.a001,II-II q.58 a.1 — What is justice?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a002,II-II q.58 a.2 — Is justice always towards another?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a003,II-II q.58 a.3 — Is it a virtue?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a004,II-II q.58 a.4 — Is it in the will as its subject?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a005,II-II q.58 a.5 — Is it a general virtue?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a006,"II-II q.58 a.6 — As a general virtue, is it essentially the same as every virtue?",article,structural,st.ii-ii.q058,
st.ii-ii.q058.a007,II-II q.58 a.7 — Is there a particular justice?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a008,II-II q.58 a.8 — Does particular justice have a matter of its own?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a009,"II-II q.58 a.9 — Is it about passions, or about operations only?",article,structural,st.ii-ii.q058,
st.ii-ii.q058.a010,II-II q.58 a.10 — Is the mean of justice the real mean?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a011,II-II q.58 a.11 — Is the act of justice to render to everyone his own?,article,structural,st.ii-ii.q058,
st.ii-ii.q058.a012,II-II q.58 a.12 — Is justice the chief of the moral virtues?,article,structural,st.ii-ii.q058,
st.ii-ii.q171.a001,II-II q.171 a.1 — Does prophecy pertain to knowledge?,article,structural,st.ii-ii.q171,
st.ii-ii.q171.a002,II-II q.171 a.2 — Is it a habit?,article,structural,st.ii-ii.q171,
st.ii-ii.q171.a003,II-II q.171 a.3 — Is it only about future contingencies?,article,structural,st.ii-ii.q171,
st.ii-ii.q171.a004,II-II q.171 a.4 — Does a prophet know all possible matters of prophecy?,article,structural,st.ii-ii.q171,
st.ii-ii.q171.a005,"II-II q.171 a.5 — Does a prophet distinguish that which he perceives by the gift of God, from that which he perceives by his own spirit?",article,structural,st.ii-ii.q171,
st.ii-ii.q171.a006,II-II q.171 a.6 — Can anything false be the matter of prophecy?,article,structural,st.ii-ii.q171,
