edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,temperance_cluster,temperance_focus
edge.sexual.concept.chastity.subjective_part_of.concept.temperance,concept.chastity,Chastity,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-chastity-subjective-part-of-concept-temperance-st-ii-ii-q151-a002-resp'],['st.ii-ii.q151.a002.resp'],['explicit_textual'],"['he word "" chastity "" is employed in two ways. First, properly; and thus it is a special virtue having a special matter , namely the concupiscences relating to venereal pleasures. Secondly, the word "" chastity "" is employed metaphorically: for just as a mingling of bodies co']",reviewed_doctrinal,sexual,"['sex', 'sexual', 'subjective_part', 'temperance_proper']"
edge.potential_parts.concept.clemency.has_object.concept.punishment,concept.clemency,Clemency,virtue,has_object,concept.punishment,Punishment,process,['ann.concept-clemency-has-object-concept-punishment-st-ii-ii-q157-a001-resp'],['st.ii-ii.q157.a001.resp'],['explicit_textual'],"['an is provoked to inflict a too severe punishment, while it belongs directly to clemency to mitigate punishment, and this might be prevented by excessive anger . Consequently meekness, in so far as it restrains the onslaught of anger , concurs with clemency towards the same effect; yet they']",reviewed_doctrinal,potential_parts,"['clemency_cruelty', 'potential_parts']"
edge.potential_parts.concept.clemency.potential_part_of.concept.temperance,concept.clemency,Clemency,virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-clemency-potential-part-of-concept-temperance-st-ii-ii-q157-a003-resp'],['st.ii-ii.q157.a003.resp'],['explicit_textual'],"['s anger , as stated above ( 1 and 2 ). Therefore both clemency and meekness are annexed to temperance as principal virtue , and accordingly are reckoned to be parts thereof.']",reviewed_doctrinal,potential_parts,"['clemency_cruelty', 'potential_part', 'potential_parts', 'temperance_proper']"
edge.potential_parts.concept.clemency.species_of.concept.virtue,concept.clemency,Clemency,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-clemency-species-of-concept-virtue-st-ii-ii-q157-a002-resp'],['st.ii-ii.q157.a002.resp'],['explicit_textual'],"['eason, as the Philosopher declares (Ethic. i, 13). Now this is verified both in clemency and in meekness. For clemency, in mitigating punishment, ""is guided by reason,"" according to Seneca (De Clementia ii, 5), and meekness, likewise, moderates anger according to righ']",reviewed_doctrinal,potential_parts,"['clemency_cruelty', 'potential_parts']"
edge.potential_parts.concept.continence.contrary_to.concept.incontinence,concept.continence,Continence,habit,contrary_to,concept.incontinence,Incontinence,sin_type,['ann.concept-continence-contrary-to-concept-incontinence-st-ii-ii-q155-a004-resp'],['st.ii-ii.q155.a004.resp'],['explicit_textual'],"['As stated above ( Article 1 ), continence has a twofold signification. On one way it denotes cessation from all venereal pleasures; and if continence be taken in this sense, it is greater than temperance considered absolu']",reviewed_doctrinal,potential_parts,"['continence_incontinence', 'potential_parts']"
edge.general_integral.concept.continence.potential_part_of.concept.temperance,concept.continence,Continence,habit,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-continence-potential-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['ll when stirred by the impulse of passion: and this movement is restrained by "" continence ,"" the effect of which is that, although a man suffer immoderate concupiscences , his will does not succumb to them. Another inward movement towards something is the movement of h']",reviewed_doctrinal,general_integral,"['continence_incontinence', 'general_integral', 'potential_part', 'temperance_proper']"
edge.potential_parts.concept.continence.potential_part_of.concept.temperance,concept.continence,Continence,habit,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-continence-potential-part-of-concept-temperance-st-ii-ii-q155-a004-resp'],['st.ii-ii.q155.a004.resp'],['explicit_textual'],"['t man the sensitive appetite strongly resists reason by its evil desires. Hence continence is compared to temperance , as the imperfect to the perfect.']",reviewed_doctrinal,potential_parts,"['continence_incontinence', 'potential_part', 'potential_parts', 'temperance_proper']"
edge.potential_parts.concept.cruelty.contrary_to.concept.clemency,concept.cruelty,Cruelty,vice,contrary_to,concept.clemency,Clemency,virtue,['ann.concept-cruelty-contrary-to-concept-clemency-st-ii-ii-q159-a001-resp'],['st.ii-ii.q159.a001.resp'],['explicit_textual'],"['oul , whereby one is inclined to mitigate punishment. Hence cruelty is directly opposed to clemency.']",reviewed_doctrinal,potential_parts,"['clemency_cruelty', 'potential_parts']"
edge.potential_parts.concept.cruelty.species_of.concept.vice,concept.cruelty,Cruelty,vice,species_of,concept.vice,Vice,vice,['ann.concept-cruelty-species-of-concept-vice-st-ii-ii-q159-a001-resp'],['st.ii-ii.q159.a001.resp'],['explicit_textual'],"['Cruelty apparently takes its name from ""cruditas"" [rawness]. Now just as things when cooked and prepared are wont to have an agreeable and sweet savor, so when raw they have a disagreeabl']",reviewed_doctrinal,potential_parts,"['clemency_cruelty', 'potential_parts']"
edge.food_drink.concept.drunkenness.concerns_drink.concept.drink,concept.drunkenness,Drunkenness,vice,concerns_drink,concept.drink,Drink,object,['ann.concept-drunkenness-concerns-drink-concept-drink-st-ii-ii-q150-a001-resp'],['st.ii-ii.q150.a001.resp'],['explicit_textual'],"['s. First, it may signify the defect itself of a man resulting from his drinking much wine, the consequence being that he loses the use of reason . On this sense drunkenness denotes not a sin , but a penal defect resulting from a fault. Secondly, drunkenness may denote']",reviewed_doctrinal,food_drink,"['drink', 'food_drink', 'temperance_proper']"
edge.food_drink.concept.drunkenness.excess_opposed_to.concept.sobriety,concept.drunkenness,Drunkenness,vice,excess_opposed_to,concept.sobriety,Sobriety,virtue,['ann.concept-drunkenness-excess-opposed-to-concept-sobriety-st-ii-ii-q150-a002-resp'],['st.ii-ii.q150.a002.resp'],['explicit_textual'],"['The sin of drunkenness, as stated in the foregoing Article, consists in the immoderate use and concupiscence of wine. Now this may happen to a man in three ways. First, so that he knows not the drink to']",reviewed_doctrinal,food_drink,"['drink', 'food_drink']"
edge.food_drink.concept.drunkenness.species_of.concept.vice,concept.drunkenness,Drunkenness,vice,species_of,concept.vice,Vice,vice,['ann.concept-drunkenness-species-of-concept-vice-st-ii-ii-q150-a001-resp'],['st.ii-ii.q150.a001.resp'],['explicit_textual'],"['being that he loses the use of reason . On this sense drunkenness denotes not a sin , but a penal defect resulting from a fault. Secondly, drunkenness may denote the act by which a man incurs this defect. This act may cause drunkenness in two ways. On one way, th']",reviewed_doctrinal,food_drink,"['drink', 'food_drink']"
edge.food_drink.concept.fasting.act_of.concept.abstinence,concept.fasting,Fasting,act_type,act_of,concept.abstinence,Abstinence,virtue,['ann.concept-fasting-act-of-concept-abstinence-st-ii-ii-q147-a002-resp'],['st.ii-ii.q147.a002.resp'],['explicit_textual'],"['food, wherein the mean is appointed by abstinence. Wherefore it is evident that fasting is an act of abstinence.']",reviewed_doctrinal,food_drink,"['food', 'food_drink']"
edge.food_drink.concept.fasting.concerns_food.concept.food,concept.fasting,Fasting,act_type,concerns_food,concept.food,Food,object,['ann.concept-fasting-concerns-food-concept-food-st-ii-ii-q147-a002-resp'],['st.ii-ii.q147.a002.resp'],['explicit_textual'],"['icular matter belongs to the virtue that appoints the mean in that matter . Now fasting is concerned with food, wherein the mean is appointed by abstinence. Wherefore it is evident that fasting is an act of abstinence.']",reviewed_doctrinal,food_drink,"['food', 'food_drink', 'temperance_proper']"
edge.temperance_proper.concept.fear_of_lord_gift.corresponding_gift_of.concept.temperance,concept.fear_of_lord_gift,Gift of Fear of the Lord,gift_holy_spirit,corresponding_gift_of,concept.temperance,Temperance,virtue,['ann.concept-fear-of-lord-gift-corresponding-gift-of-concept-temperance-st-ii-ii-q141-a001-ad3'],['st.ii-ii.q141.a001.ad3'],['explicit_textual'],"['Temperance also has a corresponding gift , namely, fear, whereby man is withheld from the pleasures of the flesh, according to Psalm 118:120 : ""Pierce Thou my flesh with Thy fear."" The gift of fear has for its principal']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.food_drink.concept.gluttony.concerns_food.concept.food,concept.gluttony,Gluttony,vice,concerns_food,concept.food,Food,object,['ann.concept-gluttony-concerns-food-concept-food-st-ii-ii-q148-a002-resp'],['st.ii-ii.q148.a002.resp'],['explicit_textual'],"['concupiscence may be considered from two points of view. First, with regard to things directed to the end, inasmuch as they may be incommensurate and consequently improportionate to the end; secondly, with regard to the end itself, inasmuch as concupiscence turns man away from his due']",reviewed_doctrinal,food_drink,"['food', 'food_drink', 'temperance_proper']"
edge.food_drink.concept.gluttony.excess_opposed_to.concept.abstinence,concept.gluttony,Gluttony,vice,excess_opposed_to,concept.abstinence,Abstinence,virtue,['ann.concept-gluttony-excess-opposed-to-concept-abstinence-st-ii-ii-q148-a001-resp'],['st.ii-ii.q148.a001.resp'],['explicit_textual'],"['Gluttony denotes, not any desire of eating and drinking, but an inordinate desire. Now desire is said to be inordinate through leaving the order of reason , wherein the good of moral virtue consists: and a thing is said to be a sin through being contrary to vir']",reviewed_doctrinal,food_drink,"['food', 'food_drink']"
edge.food_drink.concept.gluttony.species_of.concept.vice,concept.gluttony,Gluttony,vice,species_of,concept.vice,Vice,vice,['ann.concept-gluttony-species-of-concept-vice-st-ii-ii-q148-a001-resp'],['st.ii-ii.q148.a001.resp'],['explicit_textual'],['aid to be a sin through being contrary to virtue . Wherefore it is evident that gluttony is a sin .'],reviewed_doctrinal,food_drink,"['food', 'food_drink']"
edge.general_integral.concept.honesty_temperance.has_object.concept.beauty_of_virtue,concept.honesty_temperance,Honesty (Temperance Tract),doctrine,has_object,concept.beauty_of_virtue,Beauty / Comeliness of Virtue,domain,['ann.concept-honesty-temperance-has-object-concept-beauty-of-virtue-st-ii-ii-q145-a002-resp'],['st.ii-ii.q145.a002.resp'],['explicit_textual'],"['As may be gathered from the words of Dionysius (Div. Nom. iv), beauty or comeliness results from the concurrence of clarity and due proportion. For he states that God is said to be beautiful, as being ""the cause of the harmony and clarity of the universe ."" Hence']",reviewed_doctrinal,general_integral,['general_integral']
edge.general_integral.concept.honesty_temperance.integral_part_of.concept.temperance,concept.honesty_temperance,Honesty (Temperance Tract),doctrine,integral_part_of,concept.temperance,Temperance,virtue,"['ann.concept-honesty-temperance-integral-part-of-concept-temperance-st-ii-ii-q143-a001-resp', 'ann.concept-honesty-temperance-integral-part-of-concept-temperance-st-ii-ii-q145-a004-resp']","['st.ii-ii.q143.a001.resp', 'st.ii-ii.q145.a004.resp']",['explicit_textual'],"['ncurrence of which are necessary for virtue : and in this respect there are two integral parts of temperance , ""shamefacedness,"" whereby one recoils from the disgrace that is contrary to temperance , and ""honesty,"" whereby one loves the beauty of temperance . For, as stated above ( II-II', 'As stated above ( Article 2 ), honesty is a kind of spiritual beauty. Now the disgraceful is opposed to the beautiful: and opposites are most manifest of one another. Wherefore seemingly honesty belongs especially to t']",reviewed_doctrinal,general_integral,"['general_integral', 'integral_part', 'temperance_proper']"
edge.sexual.concept.incest_lust.species_of.concept.lust,concept.incest_lust,Incest,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-incest-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['s connection, by reason of due honor not being paid to her; and thus there is "" incest ,"" which consists in the misuse of a woman who is related by consanguinity or affinity. Secondly, with regard to the person under whose authority the woman is placed: and if she b']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.potential_parts.concept.incontinence.concerns_anger.concept.anger,concept.incontinence,Incontinence,sin_type,concerns_anger,concept.anger,Anger,passion,['ann.concept-incontinence-concerns-anger-concept-anger-st-ii-ii-q156-a004-resp'],['st.ii-ii.q156.a004.resp'],['explicit_textual'],"['The sin of incontinence may be considered in two ways. First, on the part of the passion which occasions the downfall of reason. In this way incontinence of desire is worse than incontinence of anger , because the movement of desire is more inordinate than the']",reviewed_doctrinal,potential_parts,"['continence_incontinence', 'meekness_anger', 'potential_parts']"
edge.potential_parts.concept.incontinence.contrary_to.concept.continence,concept.incontinence,Incontinence,sin_type,contrary_to,concept.continence,Continence,habit,['ann.concept-incontinence-contrary-to-concept-continence-st-ii-ii-q156-a002-resp'],['st.ii-ii.q156.a002.resp'],['explicit_textual'],"['Incontinence about a matter may be considered in two ways. First it may be considered properly and simply: and thus incontinence is about concupiscences of pleasures of touch, even as intemper']",reviewed_doctrinal,potential_parts,"['continence_incontinence', 'potential_parts']"
edge.potential_parts.concept.incontinence.species_of.concept.sin,concept.incontinence,Incontinence,sin_type,species_of,concept.sin,Sin,sin_type,['ann.concept-incontinence-species-of-concept-sin-st-ii-ii-q156-a002-resp'],['st.ii-ii.q156.a002.resp'],['explicit_textual'],"['nce is, as we have said in reference to continence ( II-II:155:2 ). On this way incontinence is a sin for two reasons: first, because the incontinent man goes astray from that which is in accord with reason; secondly, because he plunges into shameful pleasures. Hence the Philosoph']",reviewed_doctrinal,potential_parts,"['continence_incontinence', 'potential_parts']"
edge.temperance_proper.concept.insensibility_temperance.deficiency_opposed_to.concept.temperance,concept.insensibility_temperance,Insensibility (Against Temperance),vice,deficiency_opposed_to,concept.temperance,Temperance,virtue,['ann.concept-insensibility-temperance-deficiency-opposed-to-concept-temperance-st-ii-ii-q142-a001-resp'],['st.ii-ii.q142.a001.resp'],['explicit_textual'],"['n , as acting counter to the order of nature . And this pertains to the vice of insensibility. It must, however, be observed that it is sometimes praiseworthy, and even necessary for the sake of an end, to abstain from such pleasures as result from these operations. Thus,']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.temperance_proper.concept.intemperance.excess_opposed_to.concept.temperance,concept.intemperance,Intemperance,vice,excess_opposed_to,concept.temperance,Temperance,virtue,['ann.concept-intemperance-excess-opposed-to-concept-temperance-st-ii-ii-q142-a002-resp'],['st.ii-ii.q142.a002.resp'],['explicit_textual'],"['because it is becoming to children, and the Philosopher does not mean that the sin of intemperance is childish in this sense. Secondly, by way of likeness, and it is in this sense that sins of intemperance are said to be childish. For the sin of intemperance is one of unchecked']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.sexual.concept.lust.concerns_sexual_pleasure.concept.sexual_pleasure,concept.lust,Lust,vice,concerns_sexual_pleasure,concept.sexual_pleasure,Venereal / Sexual Pleasure,domain,['ann.concept-lust-concerns-sexual-pleasure-concept-sexual-pleasure-st-ii-ii-q153-a001-resp'],['st.ii-ii.q153.a001.resp'],['explicit_textual'],"['th pleasures."" Now venereal pleasures above all debauch a man\'s mind. Therefore lust is especially concerned with such like pleasures.']",reviewed_doctrinal,sexual,"['sex', 'sexual', 'temperance_proper']"
edge.sexual.concept.lust.excess_opposed_to.concept.chastity,concept.lust,Lust,vice,excess_opposed_to,concept.chastity,Chastity,virtue,['ann.concept-lust-excess-opposed-to-concept-chastity-st-ii-ii-q153-a001-resp'],['st.ii-ii.q153.a001.resp'],['explicit_textual'],"['As Isidore says (Etym. x), ""a lustful man is one who is debauched with pleasures."" Now venereal pleasures above all debauch a man\'s mind. Therefore lust is especially concerned with such like pleasures.']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.sexual.concept.lust.species_of.concept.vice,concept.lust,Lust,vice,species_of,concept.vice,Vice,vice,['ann.concept-lust-species-of-concept-vice-st-ii-ii-q153-a003-resp'],['st.ii-ii.q153.a003.resp'],['explicit_textual'],"[""his connection against the dictate of reason's ordering, it will be a sin . Now lust consists essentially in exceeding the order and mode of reason in the matter of venereal acts. Wherefore without any doubt lust is a sin .""]",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.potential_parts.concept.meekness.concerns_anger.concept.anger,concept.meekness,Meekness,virtue,concerns_anger,concept.anger,Anger,passion,['ann.concept-meekness-concerns-anger-concept-anger-st-ii-ii-q157-a001-resp'],['st.ii-ii.q157.a001.resp'],['explicit_textual'],"['fer from one another, inasmuch as clemency moderates external punishment, while meekness properly mitigates the passion of anger .']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_parts']"
edge.general_integral.concept.meekness.potential_part_of.concept.temperance,concept.meekness,Meekness,virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-meekness-potential-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['ment is that of anger , which tends towards revenge, and this is restrained by ""meekness"" or ""mildness."" With regard to bodily movements and actions, moderation and restraint is the effect of ""modesty,"" which, according to Andronicus, has three parts. The first of the']",reviewed_doctrinal,general_integral,"['general_integral', 'meekness_anger', 'potential_part', 'temperance_proper']"
edge.potential_parts.concept.meekness.potential_part_of.concept.temperance,concept.meekness,Meekness,virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-meekness-potential-part-of-concept-temperance-st-ii-ii-q157-a003-resp'],['st.ii-ii.q157.a003.resp'],['explicit_textual'],"['s anger , as stated above ( 1 and 2 ). Therefore both clemency and meekness are annexed to temperance as principal virtue , and accordingly are reckoned to be parts thereof.']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_part', 'potential_parts', 'temperance_proper']"
edge.potential_parts.concept.meekness.species_of.concept.virtue,concept.meekness,Meekness,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-meekness-species-of-concept-virtue-st-ii-ii-q157-a002-resp'],['st.ii-ii.q157.a002.resp'],['explicit_textual'],"['ilosopher declares (Ethic. i, 13). Now this is verified both in clemency and in meekness. For clemency, in mitigating punishment, ""is guided by reason,"" according to Seneca (De Clementia ii, 5), and meekness, likewise, moderates anger according to right reason, as sta']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_parts']"
edge.potential_parts.concept.modesty_general.concerns_outward_moderation.concept.outward_moderation,concept.modesty_general,Modesty (General),virtue,concerns_outward_moderation,concept.outward_moderation,Outward Moderation,domain,['ann.concept-modesty-general-concerns-outward-moderation-concept-outward-moderation-st-ii-ii-q160-a002-resp'],['st.ii-ii.q160.a002.resp'],['explicit_textual'],"['erefore he severed clemency also from modesty, and held modesty to be about the remaining ordinary matters that require moderation. These seemingly are of four kinds. one is the movement of the mind towards some excellence, and this is moderated by "" humility ."" The second is the desir']",reviewed_doctrinal,potential_parts,"['modesty_general', 'potential_parts']"
edge.general_integral.concept.modesty_general.potential_part_of.concept.temperance,concept.modesty_general,Modesty (General),virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-modesty-general-potential-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['ard to bodily movements and actions, moderation and restraint is the effect of ""modesty,"" which, according to Andronicus, has three parts. The first of these enables one to discern what to do and what not to do, and to observe the right order, and to persevere in wha']",reviewed_doctrinal,general_integral,"['general_integral', 'modesty_general', 'potential_part', 'temperance_proper']"
edge.potential_parts.concept.modesty_general.potential_part_of.concept.temperance,concept.modesty_general,Modesty (General),virtue,potential_part_of,concept.temperance,Temperance,virtue,['ann.concept-modesty-general-potential-part-of-concept-temperance-st-ii-ii-q160-a001-resp'],['st.ii-ii.q160.a001.resp'],['explicit_textual'],"['ther lesser matters where moderation is not so difficult. This virtue is called modesty, and is annexed to temperance as its principal.']",reviewed_doctrinal,potential_parts,"['modesty_general', 'potential_part', 'potential_parts', 'temperance_proper']"
edge.general_integral.concept.purity_temperance.subjective_part_of.concept.temperance,concept.purity_temperance,Purity (Temperance Tract),virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-purity-temperance-subjective-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['he act, resulting, for instance, from kissing , touching, or fondling, we have ""purity."" The potential parts of a principal virtue are called secondary virtues : for while the principal virtue observes the mode in some principal matter , these observe the mode in so']",reviewed_doctrinal,general_integral,"['general_integral', 'sex', 'subjective_part', 'temperance_proper']"
edge.sexual.concept.rape_lust.species_of.concept.lust,concept.rape_lust,Rape,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-rape-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['e authority of her father, it is ""seduction,"" in the absence of violence , and ""rape"" if violence be employed. These species are differentiated on the part of the woman rather than of the man , because in the venereal act the woman is passive and is by way of matt']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.sexual.concept.sacrilege_lust.species_of.concept.lust,concept.sacrilege_lust,Sacrilege (Lust Tract),sin_type,species_of,concept.lust,Lust,vice,['ann.concept-sacrilege-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['As stated above ( II-II:153:3 ), the sin of lust consists in seeking venereal pleasure not in accordance with right reason. This may happen in two ways. First, in respect of the matter wherein this pleasure is sought; secondly, when, whereas there is due matte']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.sexual.concept.seduction_lust.species_of.concept.lust,concept.seduction_lust,Seduction,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-seduction-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['of a husband, it is "" adultery ,"" if under the authority of her father, it is ""seduction,"" in the absence of violence , and ""rape"" if violence be employed. These species are differentiated on the part of the woman rather than of the man , because in the venereal act t']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.general_integral.concept.shamefacedness.has_object.concept.disgrace,concept.shamefacedness,Shamefacedness,passion,has_object,concept.disgrace,Disgrace,domain,['ann.concept-shamefacedness-has-object-concept-disgrace-st-ii-ii-q144-a002-resp'],['st.ii-ii.q144.a002.resp'],['explicit_textual'],"['s properly about an arduous evil , one, namely, that is difficult to avoid. Now disgrace is twofold. There is the disgrace inherent to vice , which consists in the deformity of a voluntary act: and this, properly speaking, has not the character of an arduous evil . Fo']",reviewed_doctrinal,general_integral,['general_integral']
