node_id,label,node_type,registry_status,description,notes
st.ii-ii.q132.a002,II-II q.132 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a003,II-II q.132 a.3,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a004,II-II q.132 a.4,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a005,II-II q.132 a.5,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q133,II-II q.133,question,structural,Pusillanimity,
st.ii-ii.q133.a001,II-II q.133 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q133.a002,II-II q.133 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134,II-II q.134,question,structural,Magnificence,
st.ii-ii.q134.a001,II-II q.134 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a002,II-II q.134 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a003,II-II q.134 a.3,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a004,II-II q.134 a.4,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q135,II-II q.135,question,structural,Meanness,
st.ii-ii.q135.a001,II-II q.135 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q135.a002,II-II q.135 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q136,II-II q.136 — Patience,question,structural,Structural question node for the fortitude closure tract.,
st.ii-ii.q136.a001,II-II q.136 a.1 — Is patience a virtue?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q136.a002,II-II q.136 a.2 — Is it the greatest of the virtues?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q136.a003,II-II q.136 a.3 — Can it be had without grace?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q136.a004,II-II q.136 a.4 — Is it a part of fortitude?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q136.a005,II-II q.136 a.5 — Is it the same as longanimity?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q137,II-II q.137 — Perseverance,question,structural,Structural question node for the fortitude closure tract.,
st.ii-ii.q137.a001,II-II q.137 a.1 — Is perseverance a virtue?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q137.a002,II-II q.137 a.2 — Is it a part of fortitude?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q137.a003,II-II q.137 a.3 — Its relation to constancy,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q137.a004,II-II q.137 a.4 — Does it need the help of grace?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q138,II-II q.138 — The vices opposed to perseverance,question,structural,Structural question node for the fortitude closure tract.,
st.ii-ii.q138.a001,II-II q.138 a.1 — Effeminacy,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q138.a002,II-II q.138 a.2 — Pertinacity,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q139,II-II q.139 — The gift of fortitude,question,structural,Structural question node for the fortitude closure tract.,
st.ii-ii.q139.a001,II-II q.139 a.1 — Is fortitude a gift?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q139.a002,II-II q.139 a.2 — Which among the beatitudes and fruits correspond to it?,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q140,II-II q.140 — The precepts of fortitude,question,structural,Structural question node for the fortitude closure tract.,
st.ii-ii.q140.a001,II-II q.140 a.1 — The precepts of fortitude itself,article,structural,Structural article node for the fortitude closure tract.,
st.ii-ii.q140.a002,II-II q.140 a.2 — The precepts of its parts,article,structural,Structural article node for the fortitude closure tract.,
