node_id,label,node_type,review_status,part_taxonomy,description,disambiguation_note
taxonomy.prudence_core,Prudence Core Tract,taxonomy,approved,,Editorial tract marker for prudence itself in QQ. 47–48.,
taxonomy.prudence_defects,Defects Opposed to Prudence,taxonomy,approved,,Editorial grouping node for imprudence and allied defects.,
taxonomy.prudence_precepts,Precepts of Prudence,taxonomy,approved,,Editorial grouping node for the precept material in Q56.,
taxonomy.subjective_parts_prudence,Subjective Parts of Prudence,taxonomy,approved,,Editorial grouping node for prudence's subjective parts.,
st.ii-ii.q047,"II-II q.47 — Prudence, considered in itself",question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q048,II-II q.48 — The parts of prudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q049,II-II q.49 — Each quasi-integral part of prudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q050,II-II q.50 — The subjective parts of prudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q051,II-II q.51 — The virtues which are connected with prudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q052,II-II q.52 — The gift of counsel,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q053,II-II q.53 — Imprudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q054,II-II q.54 — Negligence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q055,II-II q.55 — Vices opposed to prudence by way of resemblance,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q056,II-II q.56 — The precepts relating to prudence,question,structural,,Structural question node for the prudence tract.,
st.ii-ii.q047.a001,II-II q.47 a.1 — Is prudence in the will or in the reason?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a002,"II-II q.47 a.2 — If in the reason, is it only in the practical, or also in the speculative reason?",article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a003,II-II q.47 a.3 — Does it take cognizance of singulars?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a004,II-II q.47 a.4 — Is it virtue?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a005,II-II q.47 a.5 — Is it a special virtue?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a006,II-II q.47 a.6 — Does it appoint the end to the moral virtues?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a007,II-II q.47 a.7 — Does it fix the mean in the moral virtues?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a008,II-II q.47 a.8 — Is its proper act command?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a009,II-II q.47 a.9 — Does solicitude or watchfulness belong to prudence?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a010,II-II q.47 a.10 — Does prudence extend to the governing of many?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a011,II-II q.47 a.11 — Is the prudence which regards private good the same in species as that which regards the common good?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a012,"II-II q.47 a.12 — Is prudence in subjects, or only in their rulers?",article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a013,II-II q.47 a.13 — Is prudence in the wicked?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a014,II-II q.47 a.14 — Is prudence in all good men?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a015,II-II q.47 a.15 — Is prudence in us naturally?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q047.a016,II-II q.47 a.16 — Is prudence lost by forgetfulness?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a001,II-II q.49 a.1 — Memory,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a002,II-II q.49 a.2 — Understanding or Intelligence,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a003,II-II q.49 a.3 — Docility,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a004,II-II q.49 a.4 — Shrewdness,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a005,II-II q.49 a.5 — Reason,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a006,II-II q.49 a.6 — foresight,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a007,II-II q.49 a.7 — Circumspection,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q049.a008,II-II q.49 a.8 — Caution,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q050.a001,II-II q.50 a.1 — Is a species of prudence regnative?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q050.a002,II-II q.50 a.2 — Is political economy a species of prudence?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q050.a003,II-II q.50 a.3 — Is domestic economy a species of prudence?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q050.a004,II-II q.50 a.4 — Is military prudence?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q051.a001,II-II q.51 a.1 — Is euboulia a virtue?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q051.a002,"II-II q.51 a.2 — Is it a special virtue, distinct from prudence?",article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q051.a003,II-II q.51 a.3 — Is synesis a special virtue?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q051.a004,II-II q.51 a.4 — Is gnome a special virtue?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q052.a001,II-II q.52 a.1 — Should counsel be reckoned among the seven gifts of the Holy Ghost?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q052.a002,II-II q.52 a.2 — Does the gift of counsel correspond to prudence?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q052.a003,II-II q.52 a.3 — Does the gift of counsel remain in heaven?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q052.a004,"II-II q.52 a.4 — Does the fifth beatitude, ""Blessed are the merciful,"" etc. correspond to the gift of counsel?",article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a001,II-II q.53 a.1 — Is imprudence a sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a002,II-II q.53 a.2 — Is it a special sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a003,II-II q.53 a.3 — Precipitation or temerity,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a004,II-II q.53 a.4 — Thoughtlessness,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a005,II-II q.53 a.5 — Inconstancy,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q053.a006,II-II q.53 a.6 — The origin of these vices,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q054.a001,II-II q.54 a.1 — Is negligence a special sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q054.a002,II-II q.54 a.2 — To which virtue is it opposed?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q054.a003,II-II q.54 a.3 — Is negligence a mortal sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a001,II-II q.55 a.1 — Is prudence of the flesh a sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a002,II-II q.55 a.2 — Is it a mortal sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a003,II-II q.55 a.3 — Is craftiness a special sin?,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a004,II-II q.55 a.4 — Guile,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a005,II-II q.55 a.5 — Fraud,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a006,II-II q.55 a.6 — Solicitude about temporal things,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a007,II-II q.55 a.7 — Solicitude about the future,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q056.a001,II-II q.56 a.1 — The precepts of prudence,article,structural,,Structural article node for the prudence tract.,
st.ii-ii.q056.a002,II-II q.56 a.2 — The precepts relating to the opposite vices,article,structural,,Structural article node for the prudence tract.,
