node_id,label,node_type,registry_status,description,notes
st.ii-ii.q001.a005,II-II q.1 a.5 — Can it be anything known?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a006,II-II q.1 a.6 — Should the things to be believed be divided into a certain number of articles?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a007,II-II q.1 a.7 — These articles: are they of faith for all times?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a008,II-II q.1 a.8 — The number of articles,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a009,II-II q.1 a.9 — The manner of embodying the articles in a symbol,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a010,II-II q.1 a.10 — Who has the right to propose a symbol of faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a001,"II-II q.2 a.1 — What is ""to believe,"" which is the internal act of faith?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a002,II-II q.2 a.2 — In how many ways is it expressed?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a003,II-II q.2 a.3 — Is it necessary for salvation to believe in anything above natural reason?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a004,II-II q.2 a.4 — Is it necessary to believe those things that are attainable by natural reason?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a005,II-II q.2 a.5 — Is it necessary for salvation to believe certain things explicitly?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a006,II-II q.2 a.6 — Are all equally bound to explicit faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a007,II-II q.2 a.7 — Is explicit faith in Christ always necessary for salvation?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a008,II-II q.2 a.8 — Is it necessary for salvation to believe in the Trinity explicitly?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a009,II-II q.2 a.9 — Is the act of faith meritorious?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q002.a010,II-II q.2 a.10 — Does human reason diminish the merit of faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q003.a001,II-II q.3 a.1 — Is confession an act of faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q003.a002,II-II q.3 a.2 — Is confession of faith necessary for salvation?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a001,II-II q.4 a.1 — What is faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a002,II-II q.4 a.2 — In what power of the soul does it reside?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a003,II-II q.4 a.3 — Is its form charity?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a004,II-II q.4 a.4 — Are living formata faith and lifeless informis faith one identically?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a005,II-II q.4 a.5 — Is faith a virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a006,II-II q.4 a.6 — Is it one virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a007,II-II q.4 a.7 — Its relation to the other virtues,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q004.a008,II-II q.4 a.8 — Its certitude as compared with the certitude of the intellectual virtues,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q005.a001,"II-II q.5 a.1 — Was there faith in the angels, or in man, in their original state?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q005.a002,II-II q.5 a.2 — Do the demons have faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q005.a003,"II-II q.5 a.3 — Do those heretics who err in one article, have faith in others?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q005.a004,"II-II q.5 a.4 — Among those who have faith, does one have it more than another?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q006.a001,II-II q.6 a.1 — Is faith infused into man by God?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q006.a002,II-II q.6 a.2 — Is lifeless faith a gift of God?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q007.a001,II-II q.7 a.1 — Is fear an effect of faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q007.a002,II-II q.7 a.2 — Is the heart purified by faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a001,II-II q.8 a.1 — Is understanding a gift of the Holy Ghost?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a002,II-II q.8 a.2 — Can it be together with faith in the same person?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a003,"II-II q.8 a.3 — Is the understanding which is a gift of the Holy Ghost, only speculative, or practical also?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a004,II-II q.8 a.4 — Do all who are in a state of grace have the gift of understanding?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a005,II-II q.8 a.5 — Is this gift to be found in those who are without grace?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a006,II-II q.8 a.6 — The relationship of the gift of understanding to the other gifts,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a007,II-II q.8 a.7 — Which of the beatitudes corresponds to this gift?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q008.a008,II-II q.8 a.8 — Which of the fruits?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q009.a001,II-II q.9 a.1 — Is knowledge a gift?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q009.a002,II-II q.9 a.2 — Is it about Divine things?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q009.a003,II-II q.9 a.3 — Is it speculative or practical?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q009.a004,II-II q.9 a.4 — Which beatitude corresponds to it?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a001,II-II q.10 a.1 — Is unbelief a sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a002,II-II q.10 a.2 — What is its subject?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a003,II-II q.10 a.3 — Is it the greatest of sins?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a004,II-II q.10 a.4 — Is every action of unbelievers a sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a005,II-II q.10 a.5 — The species of unbelief,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a006,"II-II q.10 a.6 — Their comparison, one with another",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a007,II-II q.10 a.7 — Should we dispute about faith with unbelievers?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a008,II-II q.10 a.8 — Should they be compelled to the faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a009,II-II q.10 a.9 — Should we have communications with them?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a010,II-II q.10 a.10 — Can unbelievers have authority over Christians?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a011,II-II q.10 a.11 — Should the rites of unbelievers be tolerated?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q010.a012,II-II q.10 a.12 — Are the children of unbelievers to be baptized against their parents' will?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q011.a001,II-II q.11 a.1 — Is heresy a kind of unbelief?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q011.a002,II-II q.11 a.2 — The matter about which it is,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q011.a003,II-II q.11 a.3 — Should heretics be tolerated?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q011.a004,II-II q.11 a.4 — Should converts be received?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q012.a001,II-II q.12 a.1 — Does apostasy pertain to unbelief?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q012.a002,"II-II q.12 a.2 — On account of apostasy from the faith, are subjects absolved from allegiance to an apostate prince?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q013.a001,II-II q.13 a.1 — Is blasphemy opposed to the confession of faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q013.a002,II-II q.13 a.2 — Is blasphemy always a mortal sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q013.a003,II-II q.13 a.3 — Is blasphemy the most grievous sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q013.a004,II-II q.13 a.4 — Is blasphemy in the damned?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q014.a001,II-II q.14 a.1 — Is blasphemy or the sin against the Holy Ghost the same as the sin committed through certain malice?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q014.a002,II-II q.14 a.2 — The species of this sin,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q014.a003,II-II q.14 a.3 — Can it be forgiven?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q014.a004,II-II q.14 a.4 — Is it possible to begin by sinning against the Holy Ghost before committing other sins?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q015.a001,II-II q.15 a.1 — Is blindness of mind a sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q015.a002,II-II q.15 a.2 — Is dullness of sense a sin distinct from blindness of mind?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q015.a003,II-II q.15 a.3 — Do these vices arise from sins of the flesh?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q016.a001,II-II q.16 a.1 — The precepts concerning faith,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q016.a002,II-II q.16 a.2 — The precepts concerning the gifts of knowledge and understanding,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a001,II-II q.17 a.1 — Is hope a virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a002,II-II q.17 a.2 — Is its object eternal happiness?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a003,"II-II q.17 a.3 — May one man, by the virtue of hope, hope for another's happiness?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a004,II-II q.17 a.4 — May a man lawfully hope in man?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a005,II-II q.17 a.5 — Is hope a theological virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a006,II-II q.17 a.6 — Its distinction from the other theological virtues,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a007,II-II q.17 a.7 — Its relation to faith,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q017.a008,II-II q.17 a.8 — Its relation to charity,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q018.a001,II-II q.18 a.1 — Is the virtue of hope in the will as its subject?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q018.a002,II-II q.18 a.2 — Is it in the blessed?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q018.a003,II-II q.18 a.3 — Is it in the damned?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q018.a004,II-II q.18 a.4 — Is there certainty in the hope of the wayfarer?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a001,II-II q.19 a.1 — Is God to be feared?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a002,"II-II q.19 a.2 — The division of fear into filial, initial, servile and worldly",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a003,II-II q.19 a.3 — Is worldly fear always evil?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a004,II-II q.19 a.4 — Is servile fear good?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a005,II-II q.19 a.5 — Is it substantially the same as filial fear?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a006,II-II q.19 a.6 — Does servile fear depart when charity comes?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a007,II-II q.19 a.7 — Is fear the beginning of wisdom?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a008,II-II q.19 a.8 — Is initial fear substantially the same as filial fear?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a009,II-II q.19 a.9 — Is fear a gift of the Holy Ghost?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a010,II-II q.19 a.10 — Does it grow when charity grows?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a011,II-II q.19 a.11 — Does it remain in heaven?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q019.a012,II-II q.19 a.12 — Which of the beatitudes and fruits correspond to it?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q020.a001,II-II q.20 a.1 — Is despair a sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q020.a002,II-II q.20 a.2 — Can it be without unbelief?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q020.a003,II-II q.20 a.3 — Is it the greatest of sins?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q020.a004,II-II q.20 a.4 — Does it arise from sloth?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q021.a001,II-II q.21 a.1 — What is the object in which presumption trusts?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q021.a002,II-II q.21 a.2 — Is presumption a sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q021.a003,II-II q.21 a.3 — To what is it opposed?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q021.a004,II-II q.21 a.4 — From what vice does it arise?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q022.a001,II-II q.22 a.1 — The precepts relating to hope,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q022.a002,II-II q.22 a.2 — The precepts relating to fear,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a001,II-II q.23 a.1 — Is charity friendship?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a002,II-II q.23 a.2 — Is it something created in the soul?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a003,II-II q.23 a.3 — Is it a virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a004,II-II q.23 a.4 — Is it a special virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a005,II-II q.23 a.5 — Is it one virtue?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a006,II-II q.23 a.6 — Is it the greatest of the virtues?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a007,II-II q.23 a.7 — Is any true virtue possible without it?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q023.a008,II-II q.23 a.8 — Is it the form of the virtues?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a001,II-II q.24 a.1 — Is charity in the will as its subject?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a002,II-II q.24 a.2 — Is charity caused in man by preceding acts or by a Divine infusion?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a003,II-II q.24 a.3 — Is it infused according to the capacity of our natural gifts?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a004,II-II q.24 a.4 — Does it increase in the person who has it?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a005,II-II q.24 a.5 — Does it increase by addition?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a006,II-II q.24 a.6 — Does it increase by every act?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a007,II-II q.24 a.7 — Does it increase indefinitely?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a008,II-II q.24 a.8 — Can the charity of a wayfarer be perfect?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a009,II-II q.24 a.9 — The various degrees of charity,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a010,II-II q.24 a.10 — Can charity diminish?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a011,II-II q.24 a.11 — Can charity be lost after it has been possessed?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q024.a012,II-II q.24 a.12 — Is it lost through one mortal sin?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a001,"II-II q.25 a.1 — Should we love God alone, out of charity, or should we love our neighbor also?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a002,II-II q.25 a.2 — Should charity be loved out of charity?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a003,II-II q.25 a.3 — Should irrational creatures be loved out of charity?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a004,II-II q.25 a.4 — May one love oneself out of charity?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a005,II-II q.25 a.5 — One's own body?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q025.a006,II-II q.25 a.6 — Should sinners be loved out of charity?,article,structural,Structural article node for the theological virtues tract.,
