node_id,label,node_type,registry_status,description,notes
st.ii-ii.q113.a002,II-II q.113 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q114,II-II q.114,question,structural,The friendliness which is called affability,
st.ii-ii.q114.a001,II-II q.114 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q114.a002,II-II q.114 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q115,II-II q.115,question,structural,Flattery,
st.ii-ii.q115.a001,II-II q.115 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q115.a002,II-II q.115 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q116,II-II q.116,question,structural,Quarreling,
st.ii-ii.q116.a001,II-II q.116 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q116.a002,II-II q.116 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117,II-II q.117,question,structural,Liberality,
st.ii-ii.q117.a001,II-II q.117 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117.a002,II-II q.117 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117.a003,II-II q.117 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117.a004,II-II q.117 a.4,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117.a005,II-II q.117 a.5,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q117.a006,II-II q.117 a.6,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118,II-II q.118,question,structural,"The vices opposed to liberality, and in the first place, of covetousness",
st.ii-ii.q118.a001,II-II q.118 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a002,II-II q.118 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a003,II-II q.118 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a004,II-II q.118 a.4,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a005,II-II q.118 a.5,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a006,II-II q.118 a.6,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a007,II-II q.118 a.7,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q118.a008,II-II q.118 a.8,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q119,II-II q.119,question,structural,Prodigality,
st.ii-ii.q119.a001,II-II q.119 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q119.a002,II-II q.119 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q119.a003,II-II q.119 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q120,II-II q.120,question,structural,"""Epikeia"" or equity",
st.ii-ii.q120.a001,II-II q.120 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q120.a002,II-II q.120 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
