edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,edge_layer,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,due_mode,connected_virtues_cluster
edge.concept.law.directed_to.concept.common_good,concept.law,Law,law,directed_to,concept.common_good,Common Good,end,doctrinal,['ann.concept-law-directed-to-concept-common-good-st-i-ii-q090-a002-resp'],['st.i-ii.q090.a002.resp'],['explicit_textual'],['Therefore every law is ordained to the common good .'],,
edge.concept.law.regulated_by.concept.reason,concept.law,Law,law,regulated_by,concept.reason,Reason,faculty,doctrinal,['ann.concept-law-regulated-by-concept-reason-st-i-ii-q090-a001-resp'],['st.i-ii.q090.a001.resp'],['explicit_textual'],['Consequently it follows that law is something pertaining to reason .'],,
edge.concept.law.requires.concept.promulgation,concept.law,Law,law,requires,concept.promulgation,Promulgation,act_type,doctrinal,['ann.concept-law-requires-concept-promulgation-st-i-ii-q090-a004-resp'],['st.i-ii.q090.a004.resp'],['explicit_textual'],['Wherefore promulgation is necessary for the law to obtain its force'],,
edge.concept.particular_justice.species_of.concept.justice,concept.particular_justice,Particular Justice,virtue,species_of,concept.justice,Justice,virtue,doctrinal,['ann.concept-particular-justice-species-of-concept-justice-st-ii-ii-q058-a007-resp'],['st.ii-ii.q058.a007.resp'],['explicit_textual'],"['Accordingly, just as in addition to legal justice there is a need for particular virtues to direct man in relation to himself, such as temperance and fortitude , so too besides legal justice there is need for particular justice to direct man in his relations to other individuals .']",,
edge.concept.passion.resides_in.concept.sensitive_appetite,concept.passion,Passion,passion,resides_in,concept.sensitive_appetite,Sensitive Appetite,faculty,doctrinal,['ann.concept-passion-resides-in-concept-sensitive-appetite-st-i-ii-q022-a003-resp'],['st.i-ii.q022.a003.resp'],['explicit_textual'],"['This corporeal transmutation is found in the act of the sensitive appetite , and is not only spiritual , as in the sensitive apprehension, but also natural']",,
edge.concept.prophecy.species_of.concept.knowledge,concept.prophecy,Prophecy,charism,species_of,concept.knowledge,Knowledge,doctrine,doctrinal,['ann.concept-prophecy-species-of-concept-knowledge-st-ii-ii-q171-a001-resp'],['st.ii-ii.q171.a001.resp'],['explicit_textual'],"[""Prophecy first and chiefly consists in knowledge , because, to wit, prophets know things that are far [procul] removed from man's knowledge""]",,
edge.concept.prudence.directed_to.concept.common_good,concept.prudence,Prudence,virtue,directed_to,concept.common_good,Common Good,end,doctrinal,['ann.concept-prudence-directed-to-concept-common-good-st-ii-ii-q047-a010-resp'],['st.ii-ii.q047.a010.resp'],['explicit_textual'],"['Accordingly, since it belongs to prudence rightly to counsel, judge, and command concerning the means of obtaining a due end, it is evident that prudence regards not only the private good of the individual , but also the common good of the multitude.']",,
edge.concept.prudence.has_act.concept.command,concept.prudence,Prudence,virtue,has_act,concept.command,Command,act_type,doctrinal,['ann.concept-prudence-has-act-concept-command-st-ii-ii-q047-a008-resp'],['st.ii-ii.q047.a008.resp'],['explicit_textual'],['Hence that which is the chief act of reason in regard to action must needs be the chief act of prudence'],,
edge.concept.prudence.has_act.concept.solicitude,concept.prudence,Prudence,virtue,has_act,concept.solicitude,Solicitude,act_type,doctrinal,['ann.concept-prudence-has-act-concept-solicitude-st-ii-ii-q047-a009-resp'],['st.ii-ii.q047.a009.resp'],['explicit_textual'],"['vi, 9) that ""one should be quick in carrying out the counsel taken, but slow in taking counsel."" Hence it is that solicitude belongs properly to prudence , and for this reason Augustine says (De Morib']",,
edge.concept.prudence.resides_in.concept.practical_reason,concept.prudence,Prudence,virtue,resides_in,concept.practical_reason,Practical Reason,faculty,doctrinal,['ann.concept-prudence-resides-in-concept-practical-reason-st-ii-ii-q047-a002-resp'],['st.ii-ii.q047.a002.resp'],['explicit_textual'],['Hence it is evident that prudence resides only in the practical reason.'],,
edge.concept.prudence.resides_in.concept.reason,concept.prudence,Prudence,virtue,resides_in,concept.reason,Reason,faculty,doctrinal,['ann.concept-prudence-resides-in-concept-reason-st-ii-ii-q047-a001-resp'],['st.ii-ii.q047.a001.resp'],['strong_textual_inference'],"['x): ""A prudent man is one who sees as it were from afar, for his sight is keen, and he foresees the event of uncertainties."" Now sight belongs not to the appetitive but to the cognitive faculty']",,
edge.concept.prudence.species_of.concept.virtue,concept.prudence,Prudence,virtue,species_of,concept.virtue,Virtue,virtue,doctrinal,['ann.concept-prudence-species-of-concept-virtue-st-ii-ii-q047-a004-resp'],['st.ii-ii.q047.a004.resp'],['explicit_textual'],"['Hence prudence has the nature of virtue not only as the other intellectual virtues have it, but also as the moral virtues have it, among which virtues it is enumerated.']",,
edge.concept.prudence_of_flesh.opposed_by.concept.prudence,concept.prudence_of_flesh,Prudence of the Flesh,vice,opposed_by,concept.prudence,Prudence,virtue,doctrinal,['ann.concept-prudence-of-flesh-opposed-by-concept-prudence-st-ii-ii-q047-a013-resp'],['st.ii-ii.q047.a013.resp'],['strong_textual_inference'],"['There is a false prudence , which takes its name from its likeness to true prudence']",,
edge.concept.sin.contrary_to.concept.eternal_law,concept.sin,Sin,sin_type,contrary_to,concept.eternal_law,Eternal Law,law_type,doctrinal,['ann.concept-sin-contrary-to-concept-eternal-law-st-i-ii-q071-a006-resp'],['st.i-ii.q071.a006.resp'],['explicit_textual'],"['the other, pertaining to the nature of evil , and which is the form, as it were, of sin , when he says, ""contrary to the eternal law .""']",,
edge.concept.symbol_of_faith.directed_to.concept.faith,concept.symbol_of_faith,Symbol of Faith,doctrine,directed_to,concept.faith,Faith,virtue,doctrinal,['ann.concept-symbol-of-faith-directed-to-concept-faith-st-ii-ii-q001-a009-resp'],['st.ii-ii.q001.a009.resp'],['explicit_textual'],['It is from its being a collection of maxims of faith that the symbol [The Greek symballein ] takes its name.'],,
edge.concept.vice.contrary_to.concept.virtue,concept.vice,Vice,vice,contrary_to,concept.virtue,Virtue,virtue,doctrinal,['ann.concept-vice-contrary-to-concept-virtue-st-i-ii-q071-a001-resp'],['st.i-ii.q071.a001.resp'],['explicit_textual'],['Accordingly three things are found to be contrary to virtue'],,
edge.concept.virtue.perfected_by.concept.charity,concept.virtue,Virtue,virtue,perfected_by,concept.charity,Charity,virtue,doctrinal,['ann.concept-virtue-perfected-by-concept-charity-st-ii-ii-q023-a008-resp'],['st.ii-ii.q023.a008.resp'],['explicit_textual'],"['Now it is evident, in accordance with what has been said ( Article 7 ), that it is charity which directs the acts of all other virtues to the last end, and which, consequently, also gives the form to all other acts of virtue : and it is precisely in this sense that charity is called the form of the virtues , for these are called virtues in relation to ""informed"" acts.']",,
edge.concept.virtue.species_of.concept.habit,concept.virtue,Virtue,virtue,species_of,concept.habit,Habit,habit,doctrinal,['ann.concept-virtue-species-of-concept-habit-st-i-ii-q055-a001-resp'],['st.i-ii.q055.a001.resp'],['explicit_textual'],['Therefore human virtues are habits .'],,
edge.concept.virtue.species_of.concept.operative_habit,concept.virtue,Virtue,virtue,species_of,concept.operative_habit,Operative Habit,habit,doctrinal,['ann.concept-virtue-species-of-concept-operative-habit-st-i-ii-q055-a002-resp'],['st.i-ii.q055.a002.resp'],['explicit_textual'],['Consequently it is essential to human virtue to be an operative habit .'],,
