edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer
edge.concept.charity.perfected_by.concept.wisdom_gift,concept.charity,Charity,virtue,perfected_by,concept.wisdom_gift,Gift of Wisdom,gift_holy_spirit,ann.concept-charity-perfected-by-concept-wisdom-gift-st-ii-ii-q045-a002-resp,st.ii-ii.q045.a002.resp,strong_textual_inference,"for he not only learns, but is patient of, Divine things."" Now this sympathy or connaturality for Divine things is the result of charity , which unites us to God , according to 1 Corinthians 6:17 : ""He who is joined to the Lord, is one spirit."" Consequently wisdom which is a gift , has its cause",reviewed_doctrinal
edge.concept.charity.regulated_by.concept.precepts_of_charity,concept.charity,Charity,virtue,regulated_by,concept.precepts_of_charity,Precepts of Charity,precept,ann.concept-charity-regulated-by-concept-precepts-of-charity-st-ii-ii-q044-a001-resp | ann.concept-charity-regulated-by-concept-precepts-of-charity-st-ii-ii-q044-a008-resp,st.ii-ii.q044.a001.resp | st.ii-ii.q044.a008.resp,explicit_textual,"ertaining to the spiritual life are ordained to this union, as to their end. Hence the Apostle says ( 1 Timothy 1:5 ): ""The end of the commandment is charity from a pure heart, and a good conscience , and an unfeigned faith ."" For all the virtues , about whose acts the precepts are given, are directed either to the | love to the thing beloved, as shown above ( II-II:25:12 ; II-II:26:1 and II-II:26:2 ). It is therefore evident that the order of charity must come under the precept.",reviewed_doctrinal
edge.concept.charity.resides_in.concept.will,concept.charity,Charity,virtue,resides_in,concept.will,Will,faculty,ann.concept-charity-resides-in-concept-will-st-ii-ii-q024-a001-resp,st.ii-ii.q024.a001.resp,explicit_textual,"the object of charity is not a sensible good , but the Divine good which is known by the intellect alone. Therefore the subject of charity is not the sensitive, but the intellective appetite , i.e. the will .",reviewed_doctrinal
edge.concept.charity.species_of.concept.virtue,concept.charity,Charity,virtue,species_of,concept.virtue,Virtue,virtue,ann.concept-charity-species-of-concept-virtue-st-ii-ii-q023-a003-resp,st.ii-ii.q023.a003.resp,explicit_textual,"Wherefore, it follows that charity is a virtue , for, since charity attains God , it unites us to God , as evidenced by the authority of Augustine quoted above.",reviewed_doctrinal
edge.concept.concord.caused_by.concept.charity,concept.concord,Concord,act_type,caused_by,concept.charity,Charity,virtue,ann.concept-concord-caused-by-concept-charity-st-ii-ii-q037-a001-resp,st.ii-ii.q037.a001.resp,explicit_textual,"Discord is opposed to concord. Now, as stated above ( II-II:29:3 ) concord results from charity , in as much as charity directs many hearts together to one thing, which is chiefly the Divine good , secondarily, the good of our neighbor. Wherefore discord",reviewed_doctrinal
edge.concept.despair_sin.species_of.concept.blasphemy_against_holy_spirit,concept.despair_sin,Despair (Sin),sin_type,species_of,concept.blasphemy_against_holy_spirit,Sin Against the Holy Spirit,sin_type,ann.concept-despair-sin-species-of-concept-blasphemy-against-holy-spirit-st-ii-ii-q014-a002-resp,st.ii-ii.q014.a002.resp,explicit_textual,"hope, arising from the consideration of the mercy that pardons sins and rewards good deeds , which hope is removed by "" despair ""; and by fear, arising from the consideration of the Divine justice that punishes sins , which fear is removed by ""presumption,"" when, namely, a man presumes",reviewed_doctrinal
edge.concept.discord.opposed_by.concept.concord,concept.discord,Discord,sin_type,opposed_by,concept.concord,Concord,act_type,ann.concept-discord-opposed-by-concept-concord-st-ii-ii-q037-a001-resp,st.ii-ii.q037.a001.resp,explicit_textual,"Discord is opposed to concord. Now, as stated above ( II-II:29:3 ) concord results from charity , in as much as charity directs many hearts together to one thing, which is chiefly the Divin",reviewed_doctrinal
edge.concept.ecclesial_unity.caused_by.concept.charity,concept.ecclesial_unity,Ecclesial Unity,doctrine,caused_by,concept.charity,Charity,virtue,ann.concept-ecclesial-unity-caused-by-concept-charity-st-ii-ii-q039-a001-resp,st.ii-ii.q039.a001.resp,explicit_textual,"of schism is, properly speaking, a special sin , for the reason that the schismatic intends to sever himself from that unity which is the effect of charity : because charity unites not only one person to another with the bond of spiritual love, but also the whole Church in unity of spirit. Accordingly schismatics",reviewed_doctrinal
edge.concept.envy.opposed_by.concept.charity,concept.envy,Envy,sin_type,opposed_by,concept.charity,Charity,virtue,ann.concept-envy-opposed-by-concept-charity-st-ii-ii-q036-a003-resp,st.ii-ii.q036.a003.resp,explicit_textual,"espect of its genus. For the genus of a sin is taken from its object; and envy according to the aspect of its object is contrary to charity , whence the soul derives its spiritual life, according to 1 John 3:14 : ""We know that we have passed from death to life, because we love the brethren."" Now th",reviewed_doctrinal
edge.concept.faith.caused_by.concept.god,concept.faith,Faith,virtue,caused_by,concept.god,God,object,ann.concept-faith-caused-by-concept-god-st-ii-ii-q006-a001-resp,st.ii-ii.q006.a001.resp,explicit_textual,"aith is the assent of the believer to the things which are proposed to him. Accordingly, as regards the first of these, faith must needs be from God . Because those things which are of faith surpass human reason , hence they do not come to man's knowledge , unless God reveal them. To some, indeed, they are",reviewed_doctrinal
edge.concept.faith.has_act.concept.act_of_faith,concept.faith,Faith,virtue,has_act,concept.act_of_faith,Act of Faith,act_type,ann.concept-faith-has-act-concept-act-of-faith-st-ii-ii-q002-a002-resp | ann.concept-faith-has-act-concept-act-of-faith-st-ii-ii-q002-a009-resp,st.ii-ii.q002.a002.resp | st.ii-ii.q002.a009.resp,explicit_textual,"the object of faith , as stated above ( II-II:1:1 ). One of these is the material object of faith , and in this way an act of faith is ""to believe in a God ""; because, as stated above ( II-II:1:1 ) nothing is proposed to our belief , except in as much as it is referred to God . The other is | f the will moved by the grace of God , so that it is subject to the free-will in relation to God ; and consequently the act of faith can be meritorious .",reviewed_doctrinal
edge.concept.faith.has_act.concept.confession_of_faith,concept.faith,Faith,virtue,has_act,concept.confession_of_faith,Confession of Faith,act_type,ann.concept-faith-has-act-concept-confession-of-faith-st-ii-ii-q003-a001-resp,st.ii-ii.q003.a001.resp,explicit_textual,"e inward thought. Wherefore, just as the inward thought of matters of faith is properly an act of faith , so too is the outward confession of them.",reviewed_doctrinal
edge.concept.faith.has_object.concept.first_truth,concept.faith,Faith,virtue,has_object,concept.first_truth,First Truth,object,ann.concept-faith-has-object-concept-first-truth-st-ii-ii-q001-a001-resp,st.ii-ii.q001.a001.resp,explicit_textual,"Accordingly if we consider, in faith , the formal aspect of the object, it is nothing else than the First Truth",reviewed_doctrinal
edge.concept.faith.perfected_by.concept.knowledge_gift,concept.faith,Faith,virtue,perfected_by,concept.knowledge_gift,Gift of Knowledge,gift_holy_spirit,ann.concept-faith-perfected-by-concept-knowledge-gift-st-ii-ii-q009-a001-resp,st.ii-ii.q009.a001.resp,explicit_textual,"nd right judgment on them, so as to discern what is to be believed , from what is not to be believed , and for this the gift of knowledge is required.",reviewed_doctrinal
edge.concept.faith.perfected_by.concept.understanding_gift,concept.faith,Faith,virtue,perfected_by,concept.understanding_gift,Gift of Understanding,gift_holy_spirit,ann.concept-faith-perfected-by-concept-understanding-gift-st-ii-ii-q009-a001-resp,st.ii-ii.q009.a001.resp,explicit_textual,"of these is that he should have a sound grasp of the things that are proposed to be believed , and this pertains to the gift of understanding, as stated above ( II-II:8:6 ): while the other is that he should have a sure and right judgment on them, so as to discern what is to be believed , from what i",reviewed_doctrinal
edge.concept.faith.regulated_by.concept.precepts_of_faith_knowledge_and_understanding,concept.faith,Faith,virtue,regulated_by,concept.precepts_of_faith_knowledge_and_understanding,"Precepts of Faith, Knowledge, and Understanding",precept,ann.concept-faith-regulated-by-concept-precepts-of-faith-knowledge-and-understanding-st-ii-ii-q016-a001-resp,st.ii-ii.q016.a001.resp,explicit_textual,"expounding the words: ""This is My commandment"" ( John 15:12 ) says (Tract. lxxxiii in Joan.) that we have received many precepts of faith . In the Old Law , however, the secret things of faith were not to be set before the people, wherefore, presupposing their faith in one God , no other precepts",reviewed_doctrinal
edge.concept.fear_of_lord_gift.corresponds_to.concept.beatitude_poor_in_spirit,concept.fear_of_lord_gift,Gift of Fear of the Lord,gift_holy_spirit,corresponds_to,concept.beatitude_poor_in_spirit,Beatitude of the Poor in Spirit,beatitude,ann.concept-fear-of-lord-gift-corresponds-to-concept-beatitude-poor-in-spirit-st-ii-ii-q019-a012-resp,st.ii-ii.q019.a012.resp,explicit_textual,"Poverty of spirit properly corresponds to fear. Because, since it belongs to filial fear to show reverence and submission to God , whatever results from this submission belongs to the gift of fear. Now from",reviewed_doctrinal
edge.concept.folly.opposed_by.concept.wisdom_gift,concept.folly,Folly,sin_type,opposed_by,concept.wisdom_gift,Gift of Wisdom,gift_holy_spirit,ann.concept-folly-opposed-by-concept-wisdom-gift-st-ii-ii-q046-a001-resp,st.ii-ii.q046.a001.resp,strong_textual_inference,"pathy in the heart and dullness in the senses, while fatuity denotes entire privation of the spiritual sense. Therefore folly is fittingly opposed to wisdom. For ""sapiens"" [wise] as Isidore says (Etym. x) ""is so named from sapor [savor], because just as the taste is quick to distinguish between savors of meats, so",reviewed_doctrinal
edge.concept.hatred_sin.opposed_by.concept.love_act,concept.hatred_sin,Hatred (Sin),sin_type,opposed_by,concept.love_act,Love (Act),act_type,ann.concept-hatred-sin-opposed-by-concept-love-act-st-ii-ii-q034-a003-resp,st.ii-ii.q034.a003.resp,explicit_textual,"Hatred is opposed to love, as stated above ( I-II:29:2 ); so that hatred of a thing is evil according as the love of that thing is good . Now love is due to our neighbor in respect of w",reviewed_doctrinal
edge.concept.heresy.species_of.concept.unbelief,concept.heresy,Heresy,sin_type,species_of,concept.unbelief,Unbelief,sin_type,ann.concept-heresy-species-of-concept-unbelief-st-ii-ii-q011-a001-resp,st.ii-ii.q011.a001.resp,explicit_textual,"lling to assent to Christ : and such a man has an evil will, so to say, in respect of the very end. This belongs to the species of unbelief in pagans and Jews . Secondly, because, though he intends to assent to Christ , yet he fails in his choice of those things wherein he assents to Christ , becau",reviewed_doctrinal
edge.concept.hope.directed_to.concept.eternal_life,concept.hope,Hope,virtue,directed_to,concept.eternal_life,Eternal Life,end,ann.concept-hope-directed-to-concept-eternal-life-st-ii-ii-q017-a004-resp,st.ii-ii.q017.a004.resp,explicit_textual,"cause is the first agent, while the secondary efficient cause is the secondary and instrumental agent. Now hope regards eternal happiness as its last end, and the Divine assistance as the first cause leading to happiness . Accordingly, just as it is not lawful to hope for any good save happiness",reviewed_doctrinal
edge.concept.hope.opposed_by.concept.despair_sin,concept.hope,Hope,virtue,opposed_by,concept.despair_sin,Despair (Sin),sin_type,ann.concept-hope-opposed-by-concept-despair-sin-st-ii-ii-q020-a001-resp,st.ii-ii.q020.a001.resp,explicit_textual,"fore, just as the movement of hope, which is in conformity with the true opinion, is praiseworthy and virtuous , so the contrary movement of despair , which is in conformity with the false opinion about God , is vicious and sinful .",reviewed_doctrinal
edge.concept.hope.opposed_by.concept.presumption,concept.hope,Hope,virtue,opposed_by,concept.presumption,Presumption,sin_type,ann.concept-hope-opposed-by-concept-presumption-st-ii-ii-q021-a003-resp,st.ii-ii.q021.a003.resp,explicit_textual,"y opposed when they belong to the same genus, than when they belong to different genera, it follows that presumption is more directly opposed to hope than to fear. For they both regard and rely on the same object, hope ordinately, presumption inordinately.",reviewed_doctrinal
edge.concept.hope.regulated_by.concept.precepts_of_hope_and_fear,concept.hope,Hope,virtue,regulated_by,concept.precepts_of_hope_and_fear,Precepts of Hope and Fear,precept,ann.concept-hope-regulated-by-concept-precepts-of-hope-and-fear-st-ii-ii-q022-a001-resp,st.ii-ii.q022.a001.resp,explicit_textual,"ept of faith had to be given under the form of an announcement or reminder, as stated above ( II-II:16:1 ), so too, the precept of hope, in the first promulgation of the Law , had to be given under the form of a promise. For he who promises rewards to them that obey him, by that very fact, urge",reviewed_doctrinal
edge.concept.hope.requires.concept.faith,concept.hope,Hope,virtue,requires,concept.faith,Faith,virtue,ann.concept-hope-requires-concept-faith-st-ii-ii-q017-a007-resp,st.ii-ii.q017.a007.resp,explicit_textual,"Absolutely speaking, faith precedes hope. For the object of hope is a future good , arduous but possible to obtain. In order, therefore, that we may hope, it is necessary for the object of hope to be",reviewed_doctrinal
edge.concept.hope.resides_in.concept.will,concept.hope,Hope,virtue,resides_in,concept.will,Will,faculty,ann.concept-hope-resides-in-concept-will-st-ii-ii-q018-a001-resp,st.ii-ii.q018.a001.resp,explicit_textual,"ppetite , since the good which is the principal object of this virtue , is not a sensible but a Divine good . Therefore hope resides in the higher appetite called the will , and not in the lower appetite , of which the irascible is a part.",reviewed_doctrinal
edge.concept.joy.caused_by.concept.charity,concept.joy,Joy,act_type,caused_by,concept.charity,Charity,virtue,ann.concept-joy-caused-by-concept-charity-st-ii-ii-q028-a001-resp,st.ii-ii.q028.a001.resp,explicit_textual,"excellent effect, according to 1 John 4:16 : ""He that abideth in charity , abideth in God , and God in him."" Therefore spiritual joy , which is about God , is caused by charity .",reviewed_doctrinal
edge.concept.knowledge_gift.corresponds_to.concept.beatitude_mourn,concept.knowledge_gift,Gift of Knowledge,gift_holy_spirit,corresponds_to,concept.beatitude_mourn,Beatitude of Those Who Mourn,beatitude,ann.concept-knowledge-gift-corresponds-to-concept-beatitude-mourn-st-ii-ii-q009-a004-resp,st.ii-ii.q009.a004.resp,explicit_textual,"of the loss (of which they may be the occasion), which judgment he exercises through the gift of knowledge . Hence the beatitude of sorrow is said to correspond to the gift of knowledge .",reviewed_doctrinal
edge.concept.mercy.caused_by.concept.charity,concept.mercy,Mercy,act_type,caused_by,concept.charity,Charity,virtue,ann.concept-mercy-caused-by-concept-charity-st-ii-ii-q032-a001-resp,st.ii-ii.q032.a001.resp,explicit_textual,"s very name, for in Greek eleemosyne it is derived from having mercy eleein even as the Latin ""miseratio"" is. And since mercy is an effect of charity , as shown above ( 30, 2, 3, Objection 3 ), it follows that almsgiving is an act of charity through the medium of mercy.",reviewed_doctrinal
edge.concept.peace.caused_by.concept.charity,concept.peace,Peace,act_type,caused_by,concept.charity,Charity,virtue,ann.concept-peace-caused-by-concept-charity-st-ii-ii-q029-a003-resp,st.ii-ii.q029.a003.resp,explicit_textual,"while the other results from one's own appetite being united with the appetite of another: and each of these unions is effected by charity —the first, in so far as man loves God with his whole heart, by referring all things to Him, so that all his desires tend to one object—the second, in so far a",reviewed_doctrinal
edge.concept.presumption.species_of.concept.blasphemy_against_holy_spirit,concept.presumption,Presumption,sin_type,species_of,concept.blasphemy_against_holy_spirit,Sin Against the Holy Spirit,sin_type,ann.concept-presumption-species-of-concept-blasphemy-against-holy-spirit-st-ii-ii-q014-a002-resp | ann.concept-presumption-species-of-concept-blasphemy-against-holy-spirit-st-ii-ii-q021-a001-resp,st.ii-ii.q014.a002.resp | st.ii-ii.q021.a001.resp,explicit_textual,"air ""; and by fear, arising from the consideration of the Divine justice that punishes sins , which fear is removed by ""presumption,"" when, namely, a man presumes that he can obtain glory without merits , or pardon without repentance. God's gifts whereby we are withdrawn from sin , are two: | nstance, if a man hope to obtain pardon without repenting, or glory without merits . This presumption is, properly, the sin against the Holy Ghost , because, to wit, by presuming thus a man removes or despises the assistance of the Holy Spirit , whereby he is withdrawn from sin .",reviewed_doctrinal
edge.concept.scandal.opposed_by.concept.charity,concept.scandal,Scandal,sin_type,opposed_by,concept.charity,Charity,virtue,ann.concept-scandal-opposed-by-concept-charity-st-ii-ii-q043-a002-resp,st.ii-ii.q043.a002.resp,explicit_textual,"ighbor which binds each one to be solicitous for his neighbor's spiritual welfare; so that if he persist in doing it he acts against charity . Yet there can be active scandal without sin on the part of the person scandalized , as stated above ( Article 1, Reply to Objection 4 ).",reviewed_doctrinal
edge.concept.schism.opposed_by.concept.ecclesial_unity,concept.schism,Schism,sin_type,opposed_by,concept.ecclesial_unity,Ecclesial Unity,doctrine,ann.concept-schism-opposed-by-concept-ecclesial-unity-st-ii-ii-q039-a001-resp,st.ii-ii.q039.a001.resp,explicit_textual,"its name ""from being a scission of minds,"" and scission is opposed to unity. Wherefore the sin of schism is one that is directly and essentially opposed to unity. For in the moral, as in the physical order, the species is not constituted by that which is accidental . Now, in the moral order, the essential is that which",reviewed_doctrinal
edge.concept.sedition.opposed_by.concept.peace,concept.sedition,Sedition,sin_type,opposed_by,concept.peace,Peace,act_type,ann.concept-sedition-opposed-by-concept-peace-st-ii-ii-q042-a001-resp,st.ii-ii.q042.a001.resp,explicit_textual,"t parts of one people, as when one part of the state rises in tumult against another part. Wherefore, since sedition is opposed to a special kind of good , namely the unity and peace of a people, it is a special kind of sin .",reviewed_doctrinal
edge.concept.sloth.opposed_by.concept.charity,concept.sloth,Sloth,sin_type,opposed_by,concept.charity,Charity,virtue,ann.concept-sloth-opposed-by-concept-charity-st-ii-ii-q035-a003-resp,st.ii-ii.q035.a003.resp,explicit_textual,"spiritual life which is the effect of charity , whereby God dwells in us. Wherefore any sin which by its very nature is contrary to charity is a mortal sin by reason of its genus. And such is sloth, because the proper effect of charity is joy in God , as stated above ( II-II:28:1 ), while sloth is",reviewed_doctrinal
edge.concept.sloth.opposed_by.concept.joy,concept.sloth,Sloth,sin_type,opposed_by,concept.joy,Joy,act_type,ann.concept-sloth-opposed-by-concept-joy-st-ii-ii-q035-a003-resp,st.ii-ii.q035.a003.resp,explicit_textual,"which by its very nature is contrary to charity is a mortal sin by reason of its genus. And such is sloth, because the proper effect of charity is joy in God , as stated above ( II-II:28:1 ), while sloth is sorrow about spiritual good in as much as it is a Divine good . Therefore sloth is a mortal sin in respect of",reviewed_doctrinal
edge.concept.strife.species_of.concept.war,concept.strife,Strife,sin_type,species_of,concept.war,War,sin_type,ann.concept-strife-species-of-concept-war-st-ii-ii-q041-a001-resp,st.ii-ii.q041.a001.resp,explicit_textual,"efore a gloss on Galatians 5:20 says that ""strifes are when persons strike one another through anger ."" Hence strife is a kind of private war , because it takes place between private persons , being declared not by public authority, but rather by an inordinate will. Therefore strife is always sinful",reviewed_doctrinal
edge.concept.symbol_of_faith.directed_to.concept.faith,concept.symbol_of_faith,Symbol of Faith,doctrine,directed_to,concept.faith,Faith,virtue,ann.concept-symbol-of-faith-directed-to-concept-faith-st-ii-ii-q001-a009-resp,st.ii-ii.q001.a009.resp,explicit_textual,It is from its being a collection of maxims of faith that the symbol [The Greek symballein ] takes its name.,reviewed_doctrinal
edge.concept.unbelief.opposed_by.concept.faith,concept.unbelief,Unbelief,sin_type,opposed_by,concept.faith,Faith,virtue,ann.concept-unbelief-opposed-by-concept-faith-st-ii-ii-q010-a001-resp,st.ii-ii.q010.a001.resp,explicit_textual,"so that a man be called an unbeliever, merely because he has not the faith . Secondly, unbelief may be taken by way of opposition to the faith ; in which sense a man refuses to hear the faith , or despises it, according to Isaiah 53:1 : ""Who hath believed our report?"" It is this that completes the not",reviewed_doctrinal
edge.concept.understanding_gift.corresponds_to.concept.beatitude_clean_of_heart,concept.understanding_gift,Gift of Understanding,gift_holy_spirit,corresponds_to,concept.beatitude_clean_of_heart,Beatitude of the Clean of Heart,beatitude,ann.concept-understanding-gift-corresponds-to-concept-beatitude-clean-of-heart-st-ii-ii-q008-a007-resp,st.ii-ii.q008.a007.resp,explicit_textual,"Two things are contained in the sixth beatitude, as also in the others, one by way of merit , viz. cleanness of heart; the other by way of reward, viz. the sight of God , as stated above ( I-II:69:2 ; I-II:6",reviewed_doctrinal
edge.concept.virtue.perfected_by.concept.charity,concept.virtue,Virtue,virtue,perfected_by,concept.charity,Charity,virtue,ann.concept-virtue-perfected-by-concept-charity-st-ii-ii-q023-a008-resp,st.ii-ii.q023.a008.resp,explicit_textual,"Now it is evident, in accordance with what has been said ( Article 7 ), that it is charity which directs the acts of all other virtues to the last end, and which, consequently, also gives the form to all other acts of virtue : and it is precisely in this sense that charity is called the form of the virtues , for these are called virtues in relation to ""informed"" acts.",reviewed_doctrinal
edge.concept.wisdom_gift.caused_by.concept.charity,concept.wisdom_gift,Gift of Wisdom,gift_holy_spirit,caused_by,concept.charity,Charity,virtue,ann.concept-wisdom-gift-caused-by-concept-charity-st-ii-ii-q045-a002-resp,st.ii-ii.q045.a002.resp,explicit_textual,"which unites us to God , according to 1 Corinthians 6:17 : ""He who is joined to the Lord, is one spirit."" Consequently wisdom which is a gift , has its cause in the will , which cause is charity , but it has its essence in the intellect , whose act is to judge aright, as stated above ( I-II:14:1 ).",reviewed_doctrinal
edge.concept.wisdom_gift.corresponds_to.concept.beatitude_peacemakers,concept.wisdom_gift,Gift of Wisdom,gift_holy_spirit,corresponds_to,concept.beatitude_peacemakers,Beatitude of the Peacemakers,beatitude,ann.concept-wisdom-gift-corresponds-to-concept-beatitude-peacemakers-st-ii-ii-q045-a006-resp,st.ii-ii.q045.a006.resp,explicit_textual,"d to the gift of wisdom, both as to the merit and as to the reward. The merit is denoted in the words, ""Blessed are the peacemakers."" Now a peacemaker is one who makes peace, either in himself, or in others: and in both cases this is the result of setting in due order those things in which",reviewed_doctrinal
